name,team,pos,scorer_id
William Lugo,(N/A),SS,04ymb
Alexey Lumpuy,CHC,OF,06ruf
Nick Maldonado,MIA,RP,0603j
Maximo Martinez,CHW,RP,061a5
Santiago Martinez,MIL,SP,06tzw
J.P. Massey,PIT,RP,0648t
Tyler McLoughlin,NYM,SP,07032
Erick Mejia,WSH,3B,03mog
Ruben Menes,STL,SP,06ifi
Keynan Middleton,(N/A),RP,031av
Frank Mieses,CHW,OF,06ux2
Yaikel Mijares,CLE,2B,06c3p
Joe Miller,DET,SP,066bu
Daniel Montano,(N/A),OF,03ynb
Cesar Mujica,PHI,C,06k7v
Jean Munoz,SEA,RP,0637l
Joe Naranjo,WSH,1B,0512x
Andrick Nava,MIL,C,051wm
Andrew Navigato,DET,"2B,3B,SS",051fb
Nicholas Northcut,CIN,3B,04pvt
Joe Olsavsky,ATL,SS,06gj1
Liam Paddack,CHW,RP,06qvr
Stephen Paolini,(N/A),OF,0514c
Brady Parker,COL,SP,06zae
Wyatt Parliament,NYY,SP,06quh
Carlos Pena,DET,RP,05j8m
Edelvis Perez,CLE,SP,06klm
Yimi Presinal,KC,RP,06cge
Luis Puello,NYY,C,06rjr
Cesar Quintas,SEA,OF,06nu8
Trey Rangel,(N/A),SP,06mwa
Bodi Rascon,(N/A),RP,051ao
Will Riley,SEA,RP,06qkw
Shai Robinson,MIN,SS,07037
Domingo Robles,ATH,SP,03yri
Jose Rojas,NYY,UT,04lo8
Caden Rose,BOS,OF,06fqu
Kenny Rosenberg,(N/A),RP,0429i
Matt Rudick,NYM,OF,05yhf
Noah Ruen,LAD,RP,06hva
Christian Saez,STL,1B,06kuj
Lisandro Sanchez,BAL,OF,06rrn
Rafael Sanchez,TOR,SP,06awm
Wilmy Sanchez,HOU,RP,06r8c
Victor Santana,ARI,3B,06sbl
Nolan Santos,MIN,RP,06fqv
Shay Schanaman,ATL,RP,06gj0
Matt Scott,CLE,SP,06c1i
Anthony Silva,CLE,SS,06c5l
Karson Simas,CHC,3B,051jn
Ethan Sloan,DET,RP,06qgr
Myles Smith,CIN,OF,06qwa
Kirby Snead,PHI,RP,041vf
Jared Sprague-Lott,ATH,3B,06qty
Josh Springer,TEX,C,06qn6
Josh Stowers,TEX,OF,04pmi
Ronny Suarez,ARI,OF,06ro8
Terrell Tatum,CHW,OF,05yhh
Shohei Tomioka,ATH,RP,05ilr
Julian Tonghini,WSH,RP,06ywl
Andres Torres,TB,C,06mv1
Blake Townsend,PIT,RP,05ilp
Kyle Tyler,PHI/BAL/CHW,RP,04q2b
Javier Valdes,ATL,C,063w1
Connor Van Scoyoc,COL,RP,04pvn
Kevin Velasco,BAL,SP,06pg9
Facundo Velasquez,STL,OF,06c7n
Nick Vespi,PHI,RP,03qv3
Kendeglys Virguez,CLE,RP,062zp
Mac Wainwright,(N/A),1B,05mro
Brian Walters,PHI,RP,06zqm
Art Warren,(N/A),RP,03qyt
Andy Weber,ARI,SS,04prd
Patrick Weigel,WSH,RP,03dty
Hudson White,BOS,C,062k2
Eli Wilson,SD,C,051c1
Ryland Zaborowski,LAA,3B,06rwr
Zane Zielinski,SF,SS,06qu3
Henniel Alcala,CHC,C,06rip
Derik Alcantara,CHC,OF,06uvu
Juan Alva,MIA,SS,06yty
Ryan Ammons,NYM,RP,06giv
Brayan Amoroso,STL,OF,06kyb
Cesar Aquino,PIT,RP,06ptv
Pablo Arosemena,CLE,C,06hss
Mahki Backstrom,(N/A),1B,051e3
Thomas Balboni Jr.,NYY,RP,066k1
Edgar Barclay,(N/A),SP,051bv
Andry Batista,TEX,OF,06mif
Jalen Battles,TB,SS,0648w
Sterling Bazil,DET,SS,06yt9
Tyler Beede,MIN,RP,02bq5
Derek Berg,PIT,C,06qv2
Tucker Biven,WSH,RP,06zav
Jeremiah Boyd,ARI,C,06gj9
Jonathan Brand,BOS,RP,066ck
Corey Braun,ATH,SP,06zr3
Juan Brima,ARI,SS,06rob
Moises Brito,(N/A),RP,063do
Canyon Brown,KC,C,06qtz
Ryan Bruno,ARI,RP,05jqo
Ruben Cardenas,PHI,OF,04pyz
David Carrera,NYY,OF,06tvi
Ross Carver,CLE,RP,061bm
Humberto Castellanos,(N/A),RP,050if
Byron Castillo,LAA,OF,06ams
Walin Castillo,MIA,SP,0646e
Luis Cessa,(N/A),SP,03am2
Frainyer Chavez,TEX,"2B,3B",04q4n
Adam Cimber,(N/A),RP,03178
Stanley Consuegra,(N/A),OF,04n1v
Narbe Cruz,HOU,"1B,2B,3B",05w9u
Wanderly De La Cruz,CIN,OF,06z5h
Ryan Degges,PHI,SP,06qpz
Enderson Delgado,DET,C,06bs5
Luis Devers,CHC,SP,060vz
Angel Diaz,LAD,C,06con
Yorvit Diaz,ATH,SS,06rpc
Willy Fanas,NYM,OF,060qh
Anthony Flores,MIL,RP,062zr
Michael Flynn,TB,RP,04pru
T.J. Fondtain,TB,RP,06g6d
Pat Gallagher,TOR,RP,066lw
Reivaj Garcia,CHC,"2B,3B",04vvz
Andy Garriola,CHC,OF,066j9
Ruddy Gomez,MIN,RP,06hem
Cesar Gonzalez,ATH,C,061we
Hunter Gregory,TOR,RP,05xrw
Gabriel Guanchez,SEA,C,06jh1
Dalton Guthrie,(N/A),OF,04ae9
Jeffrey Hakanson,(N/A),P,05lg6
Anthony Hall,NYY,OF,06432
Luis Hernandez,PHI,C,06ysl
Yandro Hernandez,MIN,OF,06may
Marcos Herrera,COL,SP,064zl
Yordy Herrera,STL,RP,06c8w
Braden Holcomb,CHW,SS,05u2z
Jake Holton,(N/A),1B,0517g
Blake Holub,MIL,RP,05yl4
Tyler Howard,CLE,C,070bi
Nathan Humphreys,PHI,OF,06zeu
Sean Hunley,TB,RP,061je
Carson Jacobs,CHW,RP,06h05
Fisher Jameson,COL,RP,06qv5
Mike Jarvis,PIT,3B,05y54
Luke Johnson,WSH,RP,06qv4
Kyle Jones,MIL,OF,06r3q
Titan Kennedy-Hayes,PHI,RP,06qnv
Danny Kirwin,BOS,RP,06l5i
Austin Kitchen,SEA,RP,06mi2
Aidan Knaak,(N/A),SP,06kxb
Bill Knight,SEA,OF,066d6
Blaine Knight,(N/A),RP,04m5p
Travis Kuhn,SEA/PHI/DET,RP,060mr
Yeniel Laboy,ATH,3B,066cc
Dane Lais,SD,RP,06hw4
Luis Lameda,MIL,3B,06ifb
Victor Leal,MIN,C,06lwe
Ariel Lebron,HOU,OF,06c77
Chen-Hsun Lee,SF,SP,06aky
Ben Leeper,CHC,RP,05u1w
Brandon Lewis,(N/A),1B,0513n
Angel Liranzo,PHI,SP,06ek1
Jesus Lizardo,PIT,C,06rlq
Gavin Logan,ARI,C,066co
Daniel Lopez,KC,OF,06bj6
Kyle Luckham,WSH,SP,065v7
Jared Lyons,CIN,SP,066le
Dallas Macias,ATL,OF,06yn1
Kendrey Maduro,LAA,3B,06zgq
Josh Mallitz,SD,RP,06qij
Jordan Marks,DET,RP,05u9a
Chandler Marsh,NYM/BAL,RP,06qlb
Jose Marte,NYM,RP,04ydj
Max Martin,KC,RP,06zap
Bryce Martin-Grudzielanek,NYY,SS,06yya
Adrian Martinez,(N/A),RP,05u3c
Chazz Martinez,KC,RP,0657n
Yohander Martinez,MIN,SS,057ah
J.J. Matijevic,(N/A),1B,03dub
David McCann,NYY,C,070dc
Tommy McCollum,PHI,RP,068vt
Dalton McIntyre,ATL,OF,06qof
Trey McLoughlin,NYM,RP,06aqj
J.D. McReynolds,TEX,RP,07038
Alejandro Melean,(N/A),RP,04nkc
Oscar Mercado,PHI,OF,02k19
Juan Mercedes,SF,RP,05yfj
Hayden Merda,NYY,RP,066dn
Daniel Mielcarek,LAD,2B,06hst
Nick Mikolajchak,CLE,RP,05186
Cody Milligan,ATL,2B,05171
Maddox Molony,DET,SS,06r79
Aneudis Mordan,BAL,"C,1B",060ou
Marcus Morgan,PHI,SP,06kki
Estivel Morillo,CLE,OF,06kvc
Wylan Moss,(N/A),SP,06v66
Chandler Murphy,TB,SP,06hv6
Dalton Neuschwander,BAL,SP,06yy7
Austin Newton,COL,RP,06zab
Jormy Nivar,TEX,RP,06qfn
Ethan Norby,CIN,SP,06rsd
Luke Nowak,KC,OF,06zar
Conner O'Neal,LAD,C,06yy6
Chris Okey,LAD,C,03ywx
Adam Oller,(N/A),SP,0422w
Fredderick Ovalle,PIT,2B,06ytv
Brainerh Palacios,TB,C,06sap
Jesus Palacios,BAL,SP,067zk
Eduardo Perez,HOU,OF,06aku
Beau Philip,TOR,SS,05125
Enmanuel Pinales,SD,SP,064s2
Narciso Polanco,TB,2B,066s7
Ronny Polanco,(N/A),3B,05g4c
Eduardo Ponce,SEA,C,06mpk
Joshua Quezada,MIL,RP,06kgm
Yeuri Ramirez,MIL,SP,06ro3
Eric Rataczak,MIA,1B,06qr3
Cole Raymond,LAA,SP,06z06
Bladimir Restituyo,MIL,OF,04ofm
Dusty Revis,SEA,SP,06z3s
Howard Reyes,DET,C,06y1k
Ricardo Reyes,ATH,SP,06suf
Alfonso Rivas,(N/A),"1B,OF",04pq6
Yosneiker Rivas,SF,SS,06aks
CJ Rodriguez,ATH,C,05yb6
Melvin Rodriguez,MIN,SP,06pqq
Chris Roller,MIL,OF,06fww
Jarold Rosado,CHW,RP,06op9
Rodny Rosario,CLE,3B,070ev
Luke Russo,PHI,RP,06hq4
Jadiel Sanchez,LAA,OF,0519a
Dangelo Sarmiento,NYM,SS,0620y
Shane Sdao,NYM,RP,06mpt
Franchely Silverio,HOU,3B,06kgn
Kyle Sinzza,ARI,2B,06ylq
Gavin Smith,TOR,SS,06qpu
Peter Solomon,CHC,RP,03dt9
Tommy Specht,TEX,OF,05ycm
Ethan Storm,TB,SP,070dy
Garrett Stratton,NYM,RP,06zih
Colin Summerhill,LAA,C,06qjr
Drew Swift,ATH,"2B,3B",05xq5
Bracewell Taveras,STL,SS,06c7k
Enmanuel Terrero,PIT,OF,05rk1
Tyler Thornton,CLE,RP,061ym
Rafhlmil Torres,CIN,SS,06c2g
Braydon Tucker,PHI,SP,06hes
Jose Varela,HOU,RP,06dqh
Imanol Vargas,LAD/PIT,1B,061ob
Chris Veach,NYY,RP,06qlj
Carlos Villarroel,NYY,1B,06kxx
Alex Williams,MIA,RP,06489
Chris Williams,NYM,C,04pt3
Tyler Woessner,MIL,RP,0642n
Luke Young,WSH,RP,065nw
Wyatt Young,NYM,"2B,SS",05yny
Tyrone Yulie,NYY,RP,05umy
Diorland Zambrano,CIN,3B,06mmm
Jose Zerpa,SEA,RP,06clo
Keegan Zinn,CLE,RP,06hv9
Angel Acosta,KC,C,06uj5
Joe Adametz,DET,RP,065jb
Dash Albus,KC,RP,06ooc
Raul Alcantara,SEA/BAL/MIL,RP,060fv
Brady Allen,DET,OF,05y4h
Jhan Almeida,CIN,SP,06qzn
Luis Alvarez,NYM,RP,06m7y
Xavier Alvero,BAL,SP,06akl
Colin Anderson,(N/A),3B,06r8a
Gensi Angeles,ATL,RP,06zb5
Eli Ankeney,NYM,RP,066fq
Cristian Aray,SEA,SP,06r4b
Bryce Archie,CHC/CIN,RP,06z9w
Nathan Arends,ATH,RP,06mei
Yosander Asencio,BOS,OF,064w9
Christian Astudillo,BAL,C,06qxx
Zack Austin,ATL,RP,06gj6
Nick Avila,(N/A),RP,066sq
J.T. Bain,TOR,OF,06mbr
Sebastian Baquera,TEX,C,06qe0
Gabriel Barbosa,PHI,RP,04ylm
Edinson Batista,HOU/TOR,SP,061zx
Yadiel Batista,STL,RP,06c87
John Bay,NYM,OF,06zcy
Merritt Beeker,WSH,RP,06qob
Brock Bell,CIN,RP,0515u
Rony Bello,WSH,SS,0700v
Derek Bender,(N/A),1B,06id1
Spencer Bengard,MIN,RP,06htk
Caleb Bolden,BOS,P,04eot
Bo Bonds,TOR,RP,064nt
Ryan Bourassa,ATL,RP,06gj5
Jake Brink,CIN,SP,06za0
Rio Britton,ARI,RP,06htm
Jack Bushell,DET,RP,06r7z
Ben Bybee,SF,RP,06z3y
Jhon Cabral,MIA,RP,064vv
Jaeden Calderon,PHI,OF,06hsw
Michael Caldon,BAL,RP,06qp6
Sergio Campana,(N/A),OF,04ym5
Tommy Case,LAD,SP,06zzb
Hung-Leng Chang,PIT,SP,064od
Eddison Charles,NYY,OF,06rqb
Wandisson Charles,DET,RP,04o0a
Isais Chavez,MIL,C,06rsz
Amilcar Chirinos,HOU,RP,063gm
Deinis Chourio,CIN,UT,06z60
Luis Cohen,BOS,SP,06c3m
Darnel Collins,KC,1B,05ubz
Carlos Concepcion,SF,OF,06hfd
Caden Connor,CHW,OF,06ho8
Dayson Croes,SF,3B,06uwx
Nicolas Cruz,LAD,RP,064ru
Jack Dashwood,LAA,RP,0518v
Zach Daudet,HOU,SS,07036
Colin Davis,SEA,OF,05xq1
Brady Day,PHI,SS,06quq
Cam Day,LAD,RP,06l0m
Luis De La Rosa,BOS,SP,052i1
Luis De Los Santos,NYM,"3B,SS",06amh
Tyler Dearden,MIN,OF,04ob8
Brandon Decker,NYY,SP,06ook
Nick Dombkowski,PIT,RP,06agi
Jack Dougherty,MIN,SP,06fv7
Robert Dugger,ATH/TEX,SP,0421i
Cam Eden,NYY,OF,0514l
J.T. Etheridge,NYY,SP,06qll
Albert Fabian,SD,OF,04z95
Sandro Fabian,(N/A),OF,03o3v
Yoyner Fajardo,SEA,OF,04s8l
Christopher Familia,NYY,OF,0624b
Callan Fang,MIN,SP,070dx
Cristian Feliz,(N/A),OF,05it8
Jeferson Figueroa,MIL,RP,05uvf
Dylan File,SEA,SP,04esk
Roderick Flores,MIL,SS,06bpy
Peyton Fosher,MIA,RP,06zhd
Sadrac Franco,SF,RP,0586u
Garrett Gainey,TB,RP,06qi9
Kevin Garcia,MIL,C,06mep
Leonard Garcia,LAA,RP,06byi
Sam Garcia,MIL,SP,06qkv
Ricardo Genoves,TB,C,043cc
Sam Gerth,COL,RP,06qsi
Mateo Gil,COL,SS,04nx4
Daniel Gomez,STL,SP,06rwj
Cristopfer Gonzalez,HOU,OF,06cqt
James Gonzalez,ATH,SP,06kxh
Josue Gonzalez,NYY,"C,1B",06cmy
Jace Grady,ATL,OF,06guj
Spencer Green,LAD,SP,06hn9
Richard Guasch,WSH/DET,RP,04ym4
Kevin Guerrero,BAL,OF,05xyu
Oliver Guerrero,TEX,OF,06tfy
Garret Guillemette,HOU,"C,1B",06hsh
Johnathan Harmon,CIN,SP,066lq
Charles Harrison,STL,RP,06fqp
Ryan Harvey,NYY/DET,RP,065iz
Taylor Hearn,(N/A),RP,02nc0
Chase Heath,STL,C,06zb2
Lash Henderson,(N/A),OF,06r70
Ryan Hendrix,ARI/KC,RP,031ev
Brian Hendry,NYY,SP,06gjj
Julio Henriquez,MIA,OF,066rt
Adrian Hernandez,(N/A),RP,05up5
Angelo Hernandez,CHW,C,06aq3
Zack Hess,DET,SP,04t9a
Josh Hogue,MIA,OF,06zhf
Jackson Hornung,TOR,"C,1B",06hrz
Dylan Howard,HOU,SP,06qkq
Garrett Howe,CLE,OF,06qo8
Levi Huesman,WSH,RP,05y2z
Sammy Infante,(N/A),3B,05jqg
Wisler Infante,SEA,SP,06s39
Jose Izarra,LAD,SS,066k7
Matt Jachec,CLE,RP,06hp0
Brayden Jaksa,(N/A),C,06y9q
Camden Janik,PIT,C,06qnn
Jack Jasiak,CLE,RP,065j8
Ismael Javier,SD,SS,06com
Brandon Johnson,KC,RP,0658a
Nick Kahle,(N/A),C,0513a
Aiden Kearney,(N/A),3B,06r89
Dallas Keuchel,KC,SP,01z83
Larson Kindreich,TEX,RP,05yao
Will Koger,SD,RP,0701m
Harrison Kreiling,SEA,SP,06qpr
Andrew Landry,NYY,SP,06hq5
Kyle Larsen,TEX,RP,05y6x
Adam Laskey,MIA,SP,051ec
Carson Latimer,CIN,RP,06zaa
Enderso Lira,BOS,C,05rdn
Jesus Liranzo,MIL,RP,04af8
Griffin Lockwood-Powell,LAD,"C,1B",06opa
Zach Logue,(N/A),RP,04ejq
Ethan Long,SD,1B,05uc9
Esteban Luna,BAL,SP,06njt
Darrel Lunar,WSH,SP,06ma5
Juan Macero,LAD,3B,06z66
Andres Machado,(N/A),RP,04km8
Antonis Macias,TEX,OF,06nz1
Charles Mack,WSH,SS,04ps1
Bryan Martinez,LAA,1B,06r8b
Larry Martinez,TB,SS,06mbp
Brandon Martorano,TEX,C,051c0
Carlos Matias,TB,OF,06muy
Case Matter,TEX,RP,06giq
Michael McAvene,(N/A),P,0512h
LJ McDonough,ATL,RP,06gj2
Daniel McElveny,BOS/COL,C,05xyv
Justin Meis,PIT,RP,05yng
Antonio Menendez,TB,RP,05ynz
Enderson Mercado,MIL,SP,06qzc
Brody Moore,STL,2B,066dk
Nick Morreale,(N/A),RP,051aq
Dawson Netz,CHC,RP,06uq2
Cameron Nickens,STL,OF,06v4y
Branden Noriega,CHC,SP,06587
Brayan Orrantia,BAL,RP,06zin
Oliver Ortega,NYM,RP,050ig
Ezequiel Pagan,LAD,OF,04q7h
Cole Paplham,SD,RP,066a4
Marcos Paz,(N/A),"1B,SP",06dne
Bryan Perez,COL,SP,05xuj
Francisco Perez,ATH,RP,04al9
Drew Pestka,CIN,RP,06mee
Brandon Pimentel,WSH,OF,06hj5
Rashawn Pinder,TEX,OF,06qa3
Micah Pries,CLE,1B,0519s
A.J. Puckett,CHC,RP,041pt
Dariel Ramon,TOR,SS,06xzw
Carter Rasmussen,BOS,RP,06z0u
Jackson Rees,TOR,SP,04y7y
Zach Remillard,CHW,3B,041va
Bryan Rivera,MIL,RP,066qy
Brett Roberts,MIA,SS,0657q
Cole Roberts,PHI,SS,06gj8
Carlos Rodriguez,DET,SP,06rm1
Gustavo Rodriguez,LAA/ATH,RP,066nd
Joely Rodriguez,(N/A),RP,03ani
Miguel Rodriguez,MIN,SP,05txv
Zach Rogacki,COL,C,06zai
Christian Romero,LAD,SP,05r62
Jose Romero,SEA,SP,06imf
Yael Romero,CIN,1B,06bn1
Michael Ross,MIN,SP,06qp5
Houston Roth,BAL,RP,057mz
Jaden Rudd,TOR,OF,05y3c
Yermain Ruiz,BOS,SP,06umq
Yoiber Ruiz,BOS,C,06if7
Carter Rustad,BAL,RP,051i3
Filippo Sabatini,PHI,SS,06s49
Braian Salazar,SD,RP,064vx
Juan Sanchez,(N/A),RP,04z9n
Antonio Santos,NYM/CHC,SP,046td
Nate Savoie,(N/A),OF,06uvz
Joe Scarborough,NYM,RP,06zid
Jacob Sharp,TOR,C,06hoj
Bryan Shaw,CIN/SEA,RP,01uay
Phillip Sikes,BOS,OF,05y6u
Johan Simon,TOR,RP,067x1
Edwin Solano,(N/A),SS,066m3
Yeycol Soriano,CIN,OF,06akn
Justin Stransky,CHC,C,06zaf
Austin Strickland,SF,RP,06fqg
Junior Suriel,LAA,OF,06tzu
Joseph Tailor,MIA,2B,06bj8
Carlos Tavares,WSH,1B,06mms
Blake Taylor,(N/A),RP,03116
Andy Thomas,SD,"C,1B",05xol
Sam Thoresen,CHC,RP,05t0n
Brian Tiburcio,COL,RP,06rt7
Keduar Trujillo,HOU,C,066pq
Adrian Valdez,BOS,OF,06sau
Jose Vasquez,LAD,SP,06r7h
Luis Vizcaino,(N/A),RP,05ued
Jason Vosler,(N/A),1B,03dpa
Conner Ware,NYM,RP,06zii
Jacob Webb,BOS,RP,05yod
Kodi Whitley,TB,RP,059zn
Jadon Williamson,MIA,RP,06zil
Adam Wolf,(N/A),RP,04pqv
Jay Woolfolk,ATL,SP,070cc
Andy Yerzy,CIN/STL,C,041q5
Chavez Young,(N/A),OF,046y2
Zuher Yousuf,PHI,SP,06zov
Holden deJong,BAL,SP,070bt
Jesus Abreu,MIA,C,06rhh
Aldry Acosta,(N/A),RP,04nr0
Cooper Adams,BOS,RP,06tlh
Zane Adams,BAL,SP,06dql
Chase Adkison,STL,C,06hu2
Eliander Alcalde,TOR,RP,060oe
Fabian Alcantara,SD,SS,06yr8
Austin Aldeano,CLE,SP,05r6k
Carter Aldrete,ATH,2B,051b7
Bryce Alewine,DET,RP,06qov
Anthony Alford,(N/A),OF,02my8
Jeremy Almonte,MIA,C,06rhg
Jake Anchia,CLE,C,04psp
Wilinyer Ardiles,CLE,SP,06r1l
Diosbel Arias,(N/A),SS,04of1
Gregori Arias,MIA,SS,06mt3
Luis Arias,WSH,2B,06bt5
Cade Arrambide,(N/A),C,05u1v
J.T. Arruda,TB,SS,0518l
Daniel Avitia,CHC,C,066ky
Junior Aybar,BAL,OF,06rqw
Brady Ballinger,DET,1B,06uwn
Jackson Barberi,(N/A),SP,06mvq
Charlie Bates,(N/A),SS,06afa
Domingo Batista,TB,SS,06ky8
Matt Beaty,(N/A),1B,03qpz
Wes Benjamin,SD,SP,03de6
Jesse Bergin,MIA,RP,05y5m
Wilner Berroteran,LAA,SP,071ma
Kyle Bischoff,MIN,RP,06qyo
Bryce Boettcher,HOU,OF,06qtu
Jarrette Bonet,MIL,RP,06zcf
Bradley Brehmer,BAL,RP,04q5d
Yerlin Burgos,ATH,RP,06su8
Ike Buxton,MIA,RP,066k5
Sebastian Cadiz,CLE,C,06ife
Yorlin Calderon,SEA/ATH,RP,061lp
Jarrod Cande,COL,SP,06hvx
Dylan Carmouche,SF,SP,06hti
Peyton Carr,MIN,3B,06qvk
Carlos Carra,MIL,RP,06ukz
Yanuel Casiano,CIN,C,06quz
Darian Castillo,SD,2B,06r5h
Kleiver Chauran,TB,2B,06yu0
Parker Chavers,CHC,OF,05gs2
Evan Chrest,CLE,SP,06c5q
Cade Citelli,TB,RP,06qo1
Levi Clark,(N/A),C,06rpe
Cam Clayton,MIA,SS,06pha
Nick Conte,KC,RP,06ql0
Yohandri Contreras,ATH,RP,06r1r
Daniel Cope,(N/A),C,051a8
Brayden Corn,SEA,OF,06z3x
Juan Corniel,ARI,SS,05u3s
Matt Coutney,LAA,1B,065j2
Luke Craig,ARI,RP,06qum
Jose Cruz,(N/A),RP,066n8
Angel Cuenca,(N/A),RP,050yp
Jonny Cuevas,TB,RP,05yna
Dylan Cumming,SF/CHW,RP,06l5w
Pedro Dalmagro,CLE,C,06if2
Yuliangel De La Cruz,LAD,RP,064oc
Darlyn De Leon,CHC,OF,067zq
Cody Delvecchio,SF,SP,06z42
Kelvin Diaz,(N/A),2B,05itw
Jose Dicochea,ATH,P,0516i
Michael Dominguez,(N/A),P,051bk
Evan Edwards,TB/LAA,1B,0513e
Luis Encarnacion,HOU,1B,05ydw
Alan Escobar,CHW,OF,06vya
Mauricio Estrella,SF,RP,064vp
Cesar Familia,CHW,RP,06vy8
Jose Familia,PHI,SS,06lwg
Angel Felipe,LAA,RP,060mo
Ilan Fernandez,BOS,SS,06nlp
Edgardo Figueroa,WSH,C,06z67
Danny Flatt,NYY,SP,06hwm
Dariel Florentino,PIT,SP,06qe5
Santiago Florez,(N/A),SP,04z8l
Zach Fogell,BOS,RP,06hp6
J.R. Freethy,TOR,2B,06qst
Yosy Galan,TEX,OF,05t6m
Isaac Gallegos,ATL,RP,06hq7
Jose Garces,PIT,RP,05uaz
Irvin Gonzalez,CIN,RP,06ake
Trevor Gott,SEA,RP,0316r
Austin Green,NYY,2B,06qsq
Josh Green,(N/A),RP,04py0
Jaxx Groshans,LAA,C,04zo1
Jose Gutierrez,KC,SP,06uxc
Adam Hackenberg,CHW,C,05yeq
Sean Harney,NYM/STL,RP,066cm
Zach Harris,COL,RP,06za5
Blair Henley,HOU,RP,0424v
Freddy Hernandez,LAA,SP,06tzs
Joseph Hernandez,(N/A),RP,061yi
Juan Hernandez,DET,"3B,SS",06if3
Wilkel Hernandez,DET,SP,04avd
Jimmy Herron,MIL,OF,04ppq
Michael Hobbs,NYM/SEA,RP,06cuf
TJ Hopkins,DET,OF,0516l
Nick Hull,CHC,RP,06652
Kolton Ingram,ATL,RP,060up
Tyler Jay,MIL,RP,03n6f
Anderson Jimenez,SEA,SP,06qfl
Edwin Jimenez,MIL,SP,062x5
Cooper Johnson,TEX,C,04aui
Harry Chubb Jones Jr.,(N/A),SS,06yux
LJ Jones,CHW,OF,05mrw
Jacob Kendall,(N/A),SS,05ubk
Nic Kent,COL,"2B,3B,SS",05yfr
Wenderlyn King,MIL,RP,06r0r
Brandon Knarr,MIL,SP,06149
Antonio Knowles,LAD,RP,05yo7
Sam Knowlton,ARI,RP,06h1w
Cam Kozeal,MIA,SS,06ig5
Zac Kristofak,(N/A),RP,051ae
Jackson Lancaster,TB,RP,06rpz
Colby Langford,HOU,RP,06hop
Bryan Lara,LAD,SP,06tpi
Brandon Leibrandt,NYY,SP,03dew
Kleimir Lemos,TEX,"1B,3B",06c0y
Luis Leon,MIA,SS,06plk
Luke Leto,(N/A),SS,05koi
Domingo Leyba,PIT,2B,037ab
Oswaldo Linares,SD,C,05j90
Jeff Lindgren,(N/A),RP,051if
Joshua Loeschorn,PIT,RP,066fm
Ryan Long,BAL,SP,06bxl
Jack Lopez,SEA,2B,02c2o
Francisco Loreto,PHI,C,06rl2
Wyatt Lunsford-Shenkman,SEA,RP,06qr2
Andrew Magno,DET,RP,051bg
Jose Marcano,TEX,C,06jgy
Duncan Marsten,CIN,SP,06kww
Randy Martinez,CLE,2B,06kx7
Ryan McCarty,TOR,SS,0669q
Connor McCullough,CHW,SP,0662x
Luke McNeillie,NYM,SP,068jh
Jaime Melendez,HOU,RP,05t5w
Ernesto Mercedes,NYM,RP,06kzd
Michell Miliano,PIT,RP,04ajs
Tucker Mitchell,TEX,"C,1B",05yag
Gabriel Moncada,SEA,"1B,OF",05xuf
Jose Monserrate,MIA,OF,06426
Ethan Moore,(N/A),SS,070e7
Michael Mullinax,(N/A),OF,05y9b
Ethan Murray,(N/A),SS,05udf
Vinny Nittoli,MIL/BAL,RP,05r0y
Yoiber Ocopio,SD,C,06ekg
Joan Ogando,HOU,SP,06hwb
Rafael Ohashi,TOR,SP,05svl
Brennan Orf,TOR,OF,06huf
Jankel Ortiz,MIN,SS,0657v
Ricardo Paez,MIN,OF,06uv8
Davis Palermo,COL,RP,0649g
Wilkin Paredes,ARI,SP,06cmp
Engel Paulino,MIL,OF,06mv6
Mark Payton,(N/A),OF,031eg
Odalys Peguero,(N/A),SS,05nny
CD Pelham,ATH,RP,03dwk
Jefferson Pena,ARI,SS,05rkn
Joan Pena,MIL,SP,06z5n
Brayan Perez,SEA,RP,04ywz
Carlos Perez,(N/A),"C,1B",03mkv
Hector Perez,PHI,RP,043ny
Jose Perez,TB,SS,05r5t
Ricardo Pinto,(N/A),RP,03mol
Dominic Pipkin,PHI,RP,04ptv
Trey Pooser,TB,SP,06qut
Jesus Premoli,CHW,3B,06jh2
Esteban Quiroz,(N/A),2B,04m7n
Keiverson Ramirez,STL,SP,06bpw
Vince Reilly,ATH/CHC,RP,065iv
Chase Renner,MIA,RP,06zi6
Eryks Rivero,MIL,OF,06ro4
Sam Robertson,NYM,2B,06zie
Alex Rodriguez,TEX,OF,06v23
Pitterson Rosa,PIT,RP,064q9
Ronald Rosario,BOS,C,06c6s
Enixon Sanchez,NYY,SP,06ky5
Cristian Santana,CIN,3B,04aji
Frankie Scalzo Jr.,CHC,RP,06l5o
Alex Scherff,(N/A),SP,04eh7
Andre Scrubb,(N/A),RP,041u2
Ben Sears,KC,RP,066by
Trent Sellers,NYY,SP,06hf2
Jack Sellinger,MIA,RP,06hwz
Heribert Silva,CLE,OF,06ak9
Caleb Smith,(N/A),SP,03753
Tanner Smith,SD/BAL,RP,06qrp
Hayden Snelsire,TB,RP,06hpq
Randy Soto,TOR,"C,1B",06r52
Garrett Spain,MIL,OF,05yd7
Dale Stanavich,MIA,RP,065j6
Isaac Stebens,BOS,RP,06hs5
Brennan Stuprich,NYY,SP,06zig
Anthony Susac,TEX,RP,06pla
Dylan Tebrake,NYM,RP,064n5
