name,team,pos,rank
Patrick Williams,CHI,"SF,PF",370
Dominick Barlow,PHI,"PF,C",371
Tyrese Martin,PHI,"SG,SF",372
Javon Small,MEM,"PG,SG",373
Will Richard,GS,"SG,SF",374
Corey Kispert,ATL,"SG,SF",375
Jaden Hardy,LAL,"PG,SG,SF",376
Ben Saraf,BKN,SG,377
Sam Hauser,BOS,"SF,PF",378
Buddy Hield,ATL,"SG,SF",379
Tre Mann,WAS,"PG,SG",380
Vít Krejcí,POR,"SG,SF",381
Tim Hardaway Jr.,MIA,"SG,SF",382
Haywood Highsmith,PHO,"SF,PF",383
Dalton Knecht,LAL,"SG,SF",384
Mouhamed Gueye,ATL,"PF,C",385
Trendon Watford,NO,PF,386
Jonathan Isaac,ORL,"PF,C",387
Jordan Hawkins,NO,"SG,SF",388
Asa Newell,ATL,"PF,C",389
Jordan Clarkson,NY,"SG,SF",390
Dariq Whitehead,MEM,PF,391
Olivier-Maxence Prosper,MEM,"SF,PF,C",392
Jock Landale,ATL,C,393
Tristan Vukcevic,WAS,C,394
Kris Murray,MEM,"SG,SF",395
Russell Westbrook,SAC,"PG,SG",396
Luka Garza,BOS,C,397
Trayce Jackson-Davis,TOR,C,398
Josh Green,UTA,"SG,SF",399
Noah Penda,ORL,"SF,PF",400
