combined_rank,player,pos,team,value,blended_score,hkb_rank,current_rank,current_value,sp_rank,rp_rank,sources_matched,level,prospect_rank
1,Shohei Ohtani,"UT,SP",LAD,100.0,1.0,1,1,100.0,,,1,MLB,
2,Bobby Witt Jr.,SS,KC,86.8,2.0,2,2,86.8,,,1,MLB,
3,Junior Caminero,3B,TB,79.4,3.0,3,4,74.2,,,1,MLB,
4,James Wood,OF,WSH,74.2,4.0,4,117,22.0,,,1,MLB,
5,Jacob Misiorowski,SP,MIL,70.3,5.0,5,10,58.7,1,,1,MLB,
6,Pete Crow-Armstrong,OF,CHC,67.2,6.0,6,6,67.2,,,1,MLB,
7,Nick Kurtz,1B,ATH,64.6,7.0,7,145,19.1,,,1,MLB,
8,Elly De La Cruz,SS,CIN,62.4,8.0,8,7,64.6,,,1,MLB,
9,Juan Soto,OF,NYM,60.4,9.0,9,76,27.9,,,1,MLB,
10,Paul Skenes,SP,PIT,58.7,10.0,10,49,34.2,25,,1,MLB,
11,Corbin Carroll,OF,ARI,57.1,11.0,11,9,60.4,,,1,MLB,
12,Yordan Alvarez,OF,HOU,55.7,12.0,12,3,79.4,,,1,MLB,
13,Kevin McGonigle,"3B,SS",DET,54.4,13.0,13,37,38.3,,,1,MLB,
14,Konnor Griffin,SS,PIT,53.2,14.0,14,,,,,1,MLB,
15,Jackson Chourio,OF,MIL,52.1,15.0,15,23,45.5,,,1,MLB,
16,Tarik Skubal,SP,DET,51.1,16.0,16,8,62.4,2,,1,MLB,
17,Cam Schlittler,SP,NYY,50.2,17.0,17,25,44.2,4,,1,MLB,
18,CJ Abrams,SS,WSH,49.3,18.0,18,15,52.1,,,1,MLB,
19,Yoshinobu Yamamoto,SP,LAD,48.4,19.0,19,18,49.3,5,,1,MLB,
20,Chase Burns,"SP,RP",CIN,47.6,20.0,20,46,35.1,7,,1,MLB,
21,Julio Rodriguez,OF,SEA,46.9,21.0,21,,,,,1,MLB,
22,Ben Rice,"C,1B",NYY,46.1,22.0,22,32,40.5,,,1,MLB,
23,Ronald Acuna Jr.,OF,ATL,45.5,23.0,23,12,55.7,,,1,MLB,
24,Aaron Judge,OF,NYY,44.8,24.0,24,173,16.8,,,1,MLB,
25,Fernando Tatis Jr.,"2B,OF",SD,44.2,25.0,25,5,70.3,,,1,MLB,
26,JJ Wetherholt,"2B,SS",STL,43.6,26.0,26,79,27.4,,,1,MLB,
27,Cristopher Sanchez,SP,PHI,43.0,27.0,27,16,51.1,23,,1,MLB,
28,Jesus Made,SS,MIL,42.5,28.0,28,,,,,1,AA,1
29,Jordan Walker,OF,STL,41.9,29.0,29,41,36.8,,,1,MLB,
30,Drake Baldwin,C,ATL,41.4,30.0,30,85,26.4,,,1,MLB,
31,Gunnar Henderson,SS,BAL,40.9,31.0,31,28,42.5,,,1,MLB,
32,Sal Stewart,"1B,2B,3B",CIN,40.5,32.0,32,33,40.0,,,1,MLB,
33,Brice Turang,2B,MIL,40.0,33.0,33,38,37.9,,,1,MLB,
34,Kade Anderson,SP,SEA,39.6,34.0,34,258,11.6,44,,1,MLB,
35,Vladimir Guerrero Jr.,1B,TOR,39.1,35.0,35,65,30.1,,,1,MLB,
36,Roman Anthony,OF,BOS,38.7,36.0,36,241,12.5,,,1,MLB,
37,Leo De Vries,SS,SD/ATH,38.3,37.0,37,,,,,1,AA,2
38,Garrett Crochet,SP,BOS,37.9,38.0,38,313,9.2,,,1,MLB,
39,Nolan McLean,SP,NYM,37.5,39.0,39,74,28.3,21,,1,MLB,
40,Wyatt Langford,OF,TEX,37.1,40.0,40,57,32.0,,,1,MLB,
41,Eury Perez,SP,MIA,36.8,41.0,41,91,25.4,22,,1,MLB,
42,Jose Ramirez,3B,CLE,36.4,42.0,42,13,54.4,,,1,MLB,
43,Bryan Woo,SP,SEA,36.1,43.0,43,55,32.5,27,,1,MLB,
44,Jac Caglianone,"1B,OF",KC,35.8,44.0,44,77,27.8,,,1,MLB,
45,Payton Tolle,"SP,RP",BOS,35.4,45.0,45,73,28.5,16,,1,MLB,
46,Hunter Brown,SP,HOU,35.1,46.0,46,93,25.1,52,,1,MLB,
47,Mason Miller,RP,ATH/SD,34.8,47.0,47,27,43.0,,1,1,MLB,
48,Munetaka Murakami,"1B,3B",CHW,34.5,48.0,48,89,25.7,,,1,MLB,
49,Seth Hernandez,SP,PIT,34.2,49.0,49,,,,,1,A+,3
50,Kyle Schwarber,"1B,OF",PHI,33.9,50.0,50,14,53.2,,,1,MLB,
51,Samuel Basallo,"C,1B",BAL,33.6,51.0,51,256,11.7,,,1,MLB,
52,Riley Greene,OF,DET,33.3,52.0,52,146,19.0,,,1,MLB,
53,Zach Neto,SS,LAA,33.1,53.0,53,51,33.6,,,1,MLB,
54,Jackson Merrill,OF,SD,32.8,54.0,54,31,40.9,,,1,MLB,
55,Dylan Cease,SP,SD,32.5,55.0,55,24,44.8,10,,1,MLB,
56,Trey Yesavage,SP,TOR,32.3,56.0,56,230,13.1,,,1,MLB,
57,Logan Gilbert,SP,SEA,32.0,57.0,57,35,39.1,8,,1,MLB,
58,Josue De Paula,OF,LAD,31.8,58.0,58,,,,,1,AA,4
59,Matt Olson,1B,ATL,31.5,59.0,59,20,47.6,,,1,MLB,
60,Michael Harris II,OF,ATL,31.3,60.0,60,40,37.1,,,1,MLB,
61,Bryce Eldridge,1B,SF,31.0,61.0,61,170,17.0,,,1,MLB,
62,Hunter Greene,SP,CIN,30.8,62.0,62,,,,,1,MLB,
63,Oneil Cruz,OF,PIT,30.6,63.0,63,63,30.6,,,1,MLB,
64,Travis Bazzana,2B,CLE,30.4,64.0,64,165,17.4,,,1,MLB,
65,Kyle Tucker,OF,CHC,30.1,65.0,65,66,29.9,,,1,MLB,
66,Hunter Goodman,C,COL,29.9,66.0,66,168,17.2,,,1,MLB,
67,Logan Webb,SP,SF,29.7,67.0,67,83,26.7,35,,1,MLB,
68,Shea Langeliers,C,ATH,29.5,68.0,68,,,,,1,MLB,
69,Gavin Williams,SP,CLE,29.3,69.0,69,60,31.3,14,,1,MLB,
70,Joe Ryan,SP,MIN,29.1,70.0,70,159,17.9,,,1,MLB,
71,Max Clark,OF,DET,28.9,71.0,71,276,10.8,,,1,MLB,
72,Eli Willits,SS,WSH,28.7,72.0,72,,,,,1,A+,5
73,Kyle Harrison,"SP,RP",SF/BOS,28.5,73.0,73,103,23.7,20,,1,MLB,
74,Andy Pages,OF,LAD,28.3,74.0,74,242,12.5,,,1,MLB,
75,Parker Messick,SP,CLE,28.1,75.0,75,67,29.7,18,,1,MLB,
76,George Kirby,SP,SEA,27.9,76.0,76,87,26.1,65,,1,MLB,
77,Bryce Harper,"1B,OF",PHI,27.8,77.0,77,22,46.1,,,1,MLB,
78,Max Fried,SP,NYY,27.6,78.0,78,61,31.0,,,1,MLB,
79,Tyler Soderstrom,"1B,OF",ATH,27.4,79.0,79,223,13.5,,,1,MLB,
80,Jesus Luzardo,SP,PHI,27.2,80.0,80,39,37.5,13,,1,MLB,
81,Jazz Chisholm Jr.,"2B,3B",NYY,27.1,81.0,81,53,33.1,,,1,MLB,
82,Ketel Marte,2B,ARI,26.9,82.0,82,111,22.7,,,1,MLB,
83,Pete Alonso,1B,NYM,26.7,83.0,83,26,43.6,,,1,MLB,
84,Colt Emerson,"3B,SS",SEA,26.5,84.0,84,,,,,1,MLB,
85,Colson Montgomery,"3B,SS",CHW,26.4,85.0,85,158,18.0,,,1,MLB,
86,Sebastian Walcott,SS,TEX,26.2,86.0,86,,,,,1,AA,6
87,Franklin Arias,SS,BOS,26.1,87.0,87,,,,,1,AAA,7
88,Carson Benge,OF,NYM,25.9,88.0,88,109,23.0,,,1,MLB,
89,Chase DeLauter,OF,CLE,25.7,89.0,89,149,18.8,,,1,MLB,
90,Miguel Vargas,"1B,3B",CHW,25.6,90.0,90,54,32.8,,,1,MLB,
91,William Contreras,C,MIL,25.4,91.0,91,114,22.4,,,1,MLB,
92,Francisco Lindor,SS,NYM,25.3,92.0,92,47,34.8,,,1,MLB,
93,Logan Henderson,SP,MIL,25.1,93.0,93,99,24.3,15,,1,MLB,
94,Bryce Miller,SP,SEA,25.0,94.0,94,115,22.2,80,,1,MLB,
95,Carter Jensen,C,KC,24.8,95.0,95,277,10.7,,,1,MLB,
96,Maikel Garcia,"2B,3B,SS,OF",KC,24.7,95.0,95,,,,,1,MLB,
97,Walker Jenkins,OF,MIN,24.6,97.0,97,,,,,1,MLB,
98,Rafael Devers,1B,BOS/SF,24.4,98.0,98,44,35.8,,,1,MLB,
99,Otto Lopez,"2B,SS",MIA,24.3,99.0,99,69,29.3,,,1,MLB,
100,Connelly Early,SP,BOS,24.1,100.0,100,286,10.3,,,1,MLB,
101,Zyhir Hope,OF,LAD,24.0,101.0,101,,,,,1,AA,8
102,Braxton Ashcraft,"SP,RP",PIT,23.9,102.0,102,78,27.6,31,,1,MLB,
103,Dillon Dingler,C,DET,23.7,103.0,103,179,16.4,,,1,MLB,
104,Ryan Sloan,SP,SEA,23.6,104.0,104,,,,,1,AA,9
105,Edward Florentino,OF,PIT,23.5,105.0,105,,,,,1,A+,10
106,Spencer Schwellenbach,SP,ATL,23.3,106.0,106,,,,,1,MLB,
107,Cal Raleigh,C,SEA,23.2,107.0,107,169,17.1,,,1,MLB,
108,A.J. Ewing,OF,NYM,23.1,108.0,108,172,16.9,,,1,MLB,
109,Jared Jones,SP,PIT,23.0,109.0,109,,,,,1,MLB,
110,Bubba Chandler,SP,PIT,22.8,110.0,110,300,9.7,81,,1,MLB,
111,Byron Buxton,OF,MIN,22.7,111.0,111,21,46.9,,,1,MLB,
112,Braden Montgomery,OF,CHW,22.6,112.0,112,327,8.7,,,1,MLB,
113,Luis Pena,"2B,SS",MIL,22.5,112.0,112,,,,,1,AA,11
114,Jeremy Pena,SS,HOU,22.4,114.0,114,84,26.5,,,1,MLB,
115,George Lombard Jr.,SS,NYY,22.2,115.0,115,367,7.2,,,1,MLB,
116,Rainiel Rodriguez,C,STL,22.1,115.0,115,,,,,1,AA,12
117,Geraldo Perdomo,SS,ARI,22.0,117.0,117,86,26.2,,,1,MLB,
118,Ivan Herrera,C,STL,21.9,118.0,118,124,21.2,,,1,MLB,
119,Theo Gillen,OF,TB,21.8,119.0,119,,,,,1,AA,13
120,Jackson Holliday,"2B,SS",BAL,21.7,120.0,120,174,16.7,,,1,MLB,
121,Thomas White,SP,MIA,21.6,121.0,121,,,,,1,AAA,14
122,Max Meyer,SP,MIA,21.4,122.0,122,,,,,1,MLB,
123,Adley Rutschman,C,BAL,21.3,123.0,123,202,14.8,,,1,MLB,
124,Shane McClanahan,SP,TB,21.2,124.0,124,122,21.4,48,,1,MLB,
125,Chris Sale,SP,ATL,21.1,125.0,125,19,48.4,3,,1,MLB,
126,Jonathan Aranda,1B,TB,21.0,126.0,126,134,20.2,,,1,MLB,
127,Cody Bellinger,"1B,OF",NYY,20.9,128.0,128,88,25.9,,,1,MLB,
128,Charlie Condon,"1B,OF",COL,20.8,129.0,129,,,,,1,AAA,15
129,Joshua Baez,OF,STL,20.7,130.0,130,229,13.2,,,1,MLB,
130,Cole Ragans,SP,KC,20.6,131.0,131,,,,,1,MLB,
131,Bo Bichette,"3B,SS",TOR,20.5,132.0,132,125,21.1,,,1,MLB,
132,Zack Wheeler,SP,PHI,20.4,133.0,133,17,50.2,24,,1,MLB,
133,Xavier Edwards,"2B,SS",MIA,20.3,134.0,134,100,24.1,,,1,MLB,
134,Ryan Waldschmidt,OF,ARI,20.2,135.0,135,310,9.3,,,1,MLB,
135,Robby Snelling,SP,MIA,20.1,136.0,136,,,,,1,MLB,
136,Jhoan Duran,RP,MIN/PHI,20.0,137.0,137,43,36.1,,2,1,MLB,
137,Nico Hoerner,"2B,SS",CHC,19.9,138.0,138,123,21.3,,,1,MLB,
138,Gage Jump,SP,ATH,19.8,139.0,139,207,14.5,,,1,MLB,
139,Drew Rasmussen,SP,TB,19.7,140.0,140,45,35.4,6,,1,MLB,
140,Noah Schultz,SP,CHW,19.6,141.0,141,,,,,1,MLB,
141,Spencer Strider,SP,ATL,19.5,142.0,142,330,8.5,,,1,MLB,
142,Ceddanne Rafaela,"2B,OF",BOS,19.4,143.0,143,62,30.8,,,1,MLB,
143,Wilyer Abreu,OF,BOS,19.3,144.0,144,72,28.7,,,1,MLB,
144,Emerson Hancock,"SP,RP",SEA,19.2,145.0,145,182,16.1,49,,1,MLB,
145,Jose Soriano,SP,LAA,19.1,146.0,146,147,18.9,75,,1,MLB,
146,Jacob Wilson,SS,ATH,19.0,147.0,147,257,11.7,,,1,MLB,
147,Sandy Alcantara,SP,MIA,18.9,148.0,148,132,20.4,30,,1,MLB,
148,Troy Melton,"SP,RP",DET,18.9,148.0,148,194,15.3,26,,1,MLB,
149,Jackson Jobe,SP,DET,18.8,150.0,150,,,62,,1,MLB,
150,Sam Antonacci,"2B,3B,SS,OF",CHW,18.7,151.0,151,131,20.5,,,1,MLB,
151,Austin Riley,3B,ATL,18.6,152.0,152,151,18.6,,,1,MLB,
152,Cade Horton,SP,CHC,18.5,152.0,152,,,,,1,MLB,
153,Freddy Peralta,SP,MIL,18.4,155.0,155,166,17.3,,,1,MLB,
154,Cam Smith,OF,HOU,18.3,156.0,156,267,11.2,,,1,MLB,
155,Dylan Crews,OF,WSH,18.2,157.0,157,294,10.0,,,1,MLB,
156,Caleb Bonemer,"3B,SS",CHW,18.2,158.0,158,,,,,1,AA,16
157,Trea Turner,SS,PHI,18.1,158.0,158,29,41.9,,,1,MLB,
158,Ethan Holliday,SS,COL,18.0,160.0,160,,,,,1,A,17
159,Eduardo Quintero,OF,LAD,17.9,161.0,161,,,,,1,A+,18
160,Mookie Betts,SS,LAD,17.8,162.0,162,56,32.3,,,1,MLB,
161,Anthony Eyanson,SP,BOS,17.7,163.0,163,,,,,1,AA,19
162,Mike Sirota,OF,LAD,17.7,164.0,164,,,,,1,AA,20
163,Esmerlyn Valdez,OF,PIT,17.6,165.0,165,262,11.4,,,1,MLB,
164,Kazuma Okamoto,"1B,3B",TOR,17.5,166.0,166,141,19.5,,,1,MLB,
165,Luis Garcia Jr.,"1B,2B",WSH,17.4,167.0,167,,,,,1,MLB,
166,Cade Smith,RP,CLE,17.3,168.0,168,50,33.9,,8,1,MLB,
167,Roki Sasaki,SP,LAD,17.3,169.0,169,181,16.2,74,,1,MLB,
168,Freddie Freeman,1B,LAD,17.2,170.0,170,34,39.6,,,1,MLB,
169,Reid Detmers,"SP,RP",LAA,17.1,171.0,171,104,23.6,28,,1,MLB,
170,Luke Keaschall,"2B,OF",MIN,17.0,172.0,172,183,16.1,,,1,MLB,
171,Ozzie Albies,2B,ATL,17.0,173.0,173,112,22.6,,,1,MLB,
172,Emmet Sheehan,SP,LAD,16.9,174.0,174,283,10.5,,,1,MLB,
173,Taj Bradley,SP,TB/MIN,16.8,175.0,175,164,17.5,76,,1,MLB,
174,Mike Trout,"OF,UT",LAA,16.7,176.0,176,106,23.3,,,1,MLB,
175,Tyler Glasnow,SP,LAD,16.6,177.0,177,95,24.8,19,,1,MLB,
176,Michael Busch,1B,CHC,16.6,178.0,178,155,18.2,,,1,MLB,
177,Kendry Chourio,SP,KC,16.5,179.0,179,,,,,1,A+,21
178,Corey Seager,SS,TEX,16.4,180.0,180,80,27.2,,,1,MLB,
179,Kaelen Culpepper,SS,MIN,16.4,181.0,181,355,7.6,,,1,MLB,
180,Josh Naylor,1B,ARI/SEA,16.3,182.0,182,70,29.1,,,1,MLB,
181,Seiya Suzuki,"OF,UT",CHC,16.2,183.0,183,58,31.8,,,1,MLB,
182,MacKenzie Gore,SP,WSH,16.1,184.0,184,140,19.6,37,,1,MLB,
183,Ralphy Velazquez,1B,CLE,16.1,185.0,185,,,,,1,AAA,22
184,Alfredo Duno,C,CIN,16.0,186.0,186,,,,,1,AA,23
185,Randy Arozarena,OF,SEA,15.9,187.0,187,42,36.4,,,1,MLB,
186,Josuar Gonzalez,SS,SF,15.9,188.0,188,,,,,1,A,24
187,Didier Fuentes,"SP,RP",ATL,15.8,189.0,189,,,,19,1,MLB,
188,Luis Lara,OF,MIL,15.7,190.0,190,,,,,1,MLB,
189,Kyle Bradish,SP,BAL,15.6,191.0,191,142,19.4,51,,1,MLB,
190,Cole Young,2B,SEA,15.6,192.0,192,291,10.1,,,1,MLB,
191,Michael King,SP,SD,15.5,193.0,193,133,20.3,63,,1,MLB,
192,Alec Burleson,"1B,OF",STL,15.4,194.0,194,59,31.5,,,1,MLB,
193,Jarren Duran,OF,BOS,15.4,195.0,195,126,21.0,,,1,MLB,
194,Cole Carrigg,"SS,OF",COL,15.3,196.0,196,154,18.3,,,1,MLB,
195,Aidan Miller,SS,PHI,15.2,197.0,197,,,,,1,AA,25
196,Kyle Stowers,"1B,OF",MIA,15.2,198.0,198,272,11.0,,,1,MLB,
197,Casey Mize,SP,DET,15.1,199.0,199,137,19.9,,,1,MLB,
198,James Tibbs III,OF,SF/BOS/LAD,15.0,200.0,200,,,,,1,AAA,26
199,Vinnie Pasquantino,1B,KC,15.0,201.0,201,187,15.8,,,1,MLB,
200,JoJo Parker,SS,TOR,14.9,202.0,202,,,,,1,A+,27
201,Ethan Salas,C,SD,14.8,203.0,203,,,,,1,AAA,28
202,Blake Snell,SP,LAD,14.8,204.0,204,36,38.7,9,,1,MLB,
203,Justin Wrobleski,"SP,RP",LAD,14.7,205.0,205,271,11.0,,,1,MLB,
204,Dalton Rushing,"C,1B",LAD,14.7,206.0,206,,,,,1,MLB,
205,Luis Hernandez,C,PHI,14.6,207.0,207,,,,,1,A,29
206,Lazaro Montes,OF,SEA,14.5,208.0,208,,,,,1,AAA,30
207,Andrew Painter,SP,PHI,14.5,209.0,209,,,43,,1,MLB,
208,Jacob deGrom,SP,TEX,14.4,210.0,210,30,41.4,12,,1,MLB,
209,Ranger Suarez,SP,PHI,14.3,210.0,210,139,19.7,53,,1,MLB,
210,Eric Hartman,"2B,OF",ATL,14.3,212.0,212,,,,,1,AA,31
211,Travis Sykora,SP,WSH,14.2,213.0,213,,,,,1,ROK,32
212,Liam Doyle,SP,STL,14.2,214.0,214,,,,,1,AA,33
213,Daylen Lile,OF,WSH,14.1,215.0,215,153,18.4,,,1,MLB,
214,Gage Wood,SP,PHI,14.0,216.0,216,,,,,1,AA,34
215,Grant Taylor,"SP,RP",CHW,14.0,217.0,217,136,20.0,,20,1,MLB,
216,Tanner Bibee,SP,CLE,13.9,217.0,217,231,13.0,,,1,MLB,
217,Josh Hader,RP,HOU,13.9,220.0,220,90,25.6,,3,1,MLB,
218,Cade Cavalli,SP,WSH,13.8,221.0,221,105,23.5,17,,1,MLB,
219,Cam Caminiti,SP,ATL,13.7,222.0,222,,,,,1,AA,35
220,Will Smith,C,LAD,13.7,223.0,223,303,9.6,,,1,MLB,
221,Ryan Weathers,SP,MIA,13.6,224.0,224,311,9.3,,,1,MLB,
222,Jasson Dominguez,OF,NYY,13.6,225.0,225,340,8.2,,,1,MLB,
223,Brent Rooker,"OF,UT",ATH,13.5,226.0,226,,,,,1,MLB,
224,Bryce Rainer,SS,DET,13.4,227.0,227,,,,,1,A+,36
225,Brandon Lowe,2B,TB,13.4,228.0,228,108,23.1,,,1,MLB,
226,Bryan Reynolds,OF,PIT,13.3,229.0,229,82,26.9,,,1,MLB,
227,Nick Lodolo,SP,CIN,13.3,229.0,229,,,78,,1,MLB,
228,Andres Munoz,RP,SEA,13.2,231.0,231,68,29.5,,6,1,MLB,
229,Kyle Teel,C,CHW,13.2,231.0,231,,,,,1,MLB,
230,Manny Machado,3B,SD,13.1,233.0,233,107,23.2,,,1,MLB,
231,Gerrit Cole,SP,NYY,13.0,234.0,234,64,30.4,11,,1,MLB,
232,Andrew Fischer,3B,MIL,13.0,235.0,235,,,,,1,AA,37
233,Henry Bolte,OF,ATH,12.9,235.0,235,212,14.2,,,1,MLB,
234,Jordan Lawlar,"2B,3B,SS,OF",ARI,12.9,238.0,238,342,8.1,,,1,MLB,
235,Liam Hicks,"C,1B",MIA,12.8,240.0,240,240,12.6,,,1,MLB,
236,Shota Imanaga,SP,CHC,12.8,241.0,241,101,24.0,42,,1,MLB,
237,Karson Milbrandt,SP,MIA,12.7,242.0,242,,,,,1,AAA,38
238,Corbin Burnes,SP,ARI,12.7,243.0,243,,,,,1,AAA,39
239,Shane Baz,SP,TB,12.6,243.0,243,259,11.6,69,,1,MLB,
240,Gabriel Moreno,C,ARI,12.6,245.0,245,128,20.8,,,1,MLB,
241,Hagen Smith,"SP,RP",CHW,12.5,245.0,245,,,,91,1,MLB,
242,Ben Brown,"SP,RP",CHC,12.5,247.0,247,,,,,1,MLB,
243,Josiah Hartshorn,"1B,OF",CHC,12.4,248.0,248,,,,,1,A+,40
244,Spencer Jones,OF,NYY,12.3,248.0,248,,,,,1,MLB,
245,Jamie Arnold,SP,ATH,12.3,250.0,250,,,,,1,AA,41
246,Cooper Pratt,SS,MIL,12.2,251.0,251,354,7.7,,,1,MLB,
247,Zack Gelof,"2B,3B,OF",ATH,12.2,252.0,252,235,12.8,,,1,MLB,
248,Luis Arraez,"1B,2B",SD,12.1,253.0,253,127,20.9,,,1,MLB,
249,Emil Morales,SS,LAD,12.1,254.0,254,,,,,1,A+,42
250,Sean Burke,"SP,RP",CHW,12.0,255.0,255,161,17.7,29,,1,MLB,
251,Jake Bennett,SP,WSH,12.0,256.0,256,175,16.6,92,,1,MLB,
252,Alex Bregman,3B,BOS,11.9,257.0,257,98,24.4,,,1,MLB,
253,Mickey Moniak,OF,LAA/COL,11.9,258.0,258,215,14.0,,,1,MLB,
254,Willson Contreras,1B,STL,11.8,259.0,259,94,25.0,,,1,MLB,
255,Chase Dollander,"SP,RP",COL,11.8,260.0,260,,,,,1,MLB,
256,Francisco Alvarez,C,NYM,11.7,261.0,261,320,8.9,,,1,MLB,
257,Jonah Tong,SP,NYM,11.7,262.0,262,,,,,1,MLB,
258,Pedro Ramirez,"2B,3B,SS",CHC,11.6,263.0,263,383,6.7,,,1,MLB,
259,AJ Smith-Shawver,SP,ATL,11.6,264.0,264,,,,,1,MLB,
260,Josue Briceno,"C,1B",DET,11.5,265.0,265,,,,,1,AAA,43
261,Moises Ballesteros,"C,1B",CHC,11.5,266.0,266,,,,,1,MLB,
262,Joseph Dzierwa,SP,BAL,11.4,267.0,267,,,,,1,AA,44
263,Will Warren,SP,NYY,11.4,267.0,267,176,16.6,70,,1,MLB,
264,Yandy Diaz,1B,TB,11.3,269.0,269,52,33.3,,,1,MLB,
265,Emmanuel Rodriguez,OF,MIN,11.3,270.0,270,,,,,1,AAA,45
266,Jarlin Susana,SP,WSH,11.3,271.0,271,,,,,1,AA,46
267,Hurston Waldrep,SP,ATL,11.2,272.0,272,,,,,1,MLB,
268,Christian Scott,SP,NYM,11.2,273.0,273,185,15.9,59,,1,MLB,
269,Michael Arroyo,"2B,OF",SEA,11.1,274.0,274,,,,,1,AAA,47
270,Angel Genao,"2B,3B,SS",CLE,11.1,275.0,275,,,,,1,MLB,
271,Jo Adell,OF,LAA,11.0,276.0,276,116,22.1,,,1,MLB,
272,Chandler Simpson,OF,TB,11.0,277.0,277,118,21.9,,,1,MLB,
273,Louis Varland,RP,MIN/TOR,10.9,278.0,278,75,28.1,,4,1,MLB,
274,Edward Cabrera,SP,MIA,10.9,279.0,279,,,,,1,MLB,
275,Owen Caissie,OF,CHC,10.8,279.0,279,,,,,1,MLB,
276,Framber Valdez,SP,HOU,10.8,281.0,281,150,18.7,82,,1,MLB,
277,Jordan Westburg,"2B,3B",BAL,10.7,282.0,282,,,,,1,AAA,48
278,Chase Meidroth,"2B,SS",CHW,10.7,283.0,283,268,11.2,,,1,MLB,
279,Casey Schmitt,"1B,2B,3B,SS,OF",SF,10.6,284.0,284,,,,,1,MLB,
280,Isaac Paredes,"1B,3B",HOU,10.6,284.0,284,195,15.2,,,1,MLB,
281,Devin Fitz-Gerald,SS,TEX,10.6,286.0,286,,,,,1,AA,49
282,Carlos Lagrange,SP,NYY,10.5,287.0,287,,,,,1,AAA,50
283,Jhonny Level,SS,SF,10.5,288.0,288,,,,,1,A+,51
284,Matt Shaw,"2B,3B,OF",CHC,10.4,290.0,290,,,,,1,MLB,
285,Steele Hall,SS,CIN,10.4,290.0,290,,,,,1,A,52
286,Curtis Mead,"1B,2B,3B",TB/CHW,10.3,292.0,292,,,,,1,MLB,
287,Walbert Urena,SP,LAA,10.3,292.0,292,,,40,,1,MLB,
288,Dax Kilby,SS,NYY,10.2,294.0,294,,,,,1,A,53
289,Ian Happ,OF,CHC,10.2,295.0,295,186,15.9,,,1,MLB,
290,Tyler Bremner,SP,LAA,10.2,295.0,295,,,,,1,AA,54
291,Joey Cantillo,"SP,RP",CLE,10.1,297.0,297,248,12.1,54,,1,MLB,
292,Kris Bubic,SP,KC,10.1,298.0,298,,,,,1,MLB,
293,Mick Abel,SP,PHI/MIN,10.0,298.0,298,,,,,1,MLB,
294,Spencer Torkelson,1B,DET,10.0,300.0,300,244,12.3,,,1,MLB,
295,Edwin Arroyo,"2B,SS",CIN,9.9,301.0,301,,,,,1,MLB,
296,Agustin Ramirez,C,MIA,9.9,302.0,302,,,,,1,MLB,
297,Arjun Nimmala,SS,TOR,9.9,303.0,303,,,,,1,AA,55
298,Landen Roupp,SP,SF,9.8,304.0,304,347,7.9,79,,1,MLB,
299,Felnin Celesten,SS,SEA,9.8,305.0,305,,,,,1,AA,56
300,Ethan Conrad,OF,CHC,9.7,306.0,306,,,,,1,A+,57
301,J.R. Ritchie,"SP,RP",ATL,9.7,307.0,307,,,,,1,MLB,
302,Kyson Witherspoon,SP,BOS,9.6,307.0,307,,,,,1,A+,58
303,Braylon Payne,OF,MIL,9.6,309.0,309,,,,,1,AA,59
304,Kevin Gausman,SP,TOR,9.6,310.0,310,81,27.1,36,,1,MLB,
305,Trevor Rogers,SP,BAL,9.5,311.0,311,178,16.4,32,,1,MLB,
306,Josh Jung,3B,TEX,9.5,312.0,312,,,,,1,MLB,
307,Joe Mack,C,MIA,9.4,313.0,313,,,,,1,MLB,
308,Marcelo Mayer,"2B,3B,SS",BOS,9.4,314.0,314,,,,,1,MLB,
309,Abner Uribe,RP,MIL,9.4,315.0,315,243,12.4,,,1,MLB,
310,Noah Cameron,SP,KC,9.3,315.0,315,203,14.7,50,,1,MLB,
311,Seaver King,SS,WSH,9.3,315.0,315,,,,,1,AAA,60
312,Edwin Diaz,RP,NYM,9.2,319.0,319,,,,,1,MLB,
313,Pablo Lopez,SP,MIN,9.2,319.0,319,,,,,1,AAA,61
314,Justin Crawford,OF,PHI,9.2,321.0,321,261,11.5,,,1,MLB,
315,Ian Seymour,"SP,RP",TB,9.1,322.0,322,177,16.5,41,,1,MLB,
316,Royce Lewis,"1B,2B,3B",MIN,9.1,323.0,323,204,14.7,,,1,MLB,
317,Josh Adamczewski,SS,MIL,9.0,324.0,324,,,,,1,AA,62
318,Lawrence Butler,OF,ATH,9.0,324.0,324,197,15.1,,,1,MLB,
319,Aiva Arquette,SS,MIA,9.0,326.0,326,,,,,1,AA,63
320,Foster Griffin,"SP,RP",CLE,8.9,326.0,326,119,21.8,67,,1,MLB,
321,Dominic Canzone,OF,SEA,8.9,328.0,328,152,18.5,,,1,MLB,
322,Caden Scarborough,SP,TEX,8.8,329.0,329,,,,,1,A+,64
323,Christian Zazueta,SP,LAD,8.8,330.0,330,,,,,1,AA,65
324,Brandon Sproat,SP,NYM,8.8,331.0,331,,,,,1,MLB,
325,Spencer Arrighetti,SP,HOU,8.7,331.0,331,,,,,1,MLB,
326,Andrew Abbott,SP,CIN,8.7,333.0,333,307,9.4,,,1,MLB,
327,T.J. Rumfield,1B,NYY,8.7,334.0,334,252,11.9,,,1,MLB,
