combined_rank,player,pos,team,value,blended_score,fp_dynasty_rank,ktc_rank,current_rank,current_value,sources_matched
38,Emeka Egbuka,WR,TB,36.3,39.0,39,39,61,28.1,2
39,Garrett Wilson,WR,NYJ,35.9,39.02,41,35,56,29.5,2
40,Zay Flowers,WR,BAL,35.4,40.38,45,31,45,33.4,2
41,DeVonta Smith,WR,PHI,35.0,41.69,44,37,43,34.2,2
42,Breece Hall,RB,NYJ,34.6,43.0,43,43,52,30.8,2
43,Jordan Love,QB,GB,34.2,43.93,37,58,44,33.8,2
44,Chase Brown,RB,CIN,33.8,44.05,49,34,25,43.7,2
45,Tyler Warren,TE,IND,33.4,45.02,47,41,66,26.7,2
46,Ladd McConkey,WR,LAC,33.0,45.34,46,44,58,28.9,2
47,Carnell Tate,WR,TEN,32.6,45.96,42,54,88,21.6,2
48,Tyler Shough,QB,NO,32.2,48.03,51,42,55,29.9,2
49,Jared Goff,QB,DET,31.9,50.23,40,71,33,38.8,2
50,Colston Loveland,TE,CHI,31.5,52.36,55,47,50,31.5,2
51,Christian McCaffrey,RB,SF,31.2,52.37,56,45,17,50.4,2
52,Jaylen Waddle,WR,DEN,30.8,53.96,50,62,54,30.2,2
53,Tee Higgins,WR,CIN,30.5,54.33,54,55,51,31.2,2
54,Fernando Mendoza,QB,LV,30.2,55.36,58,50,174,9.7,2
55,Luther Burden III,WR,CHI,29.9,55.64,53,61,64,27.2,2
56,A.J. Brown,WR,NE,29.5,56.25,48,73,26,43.0,2
57,Rashee Rice,WR,KC,29.2,57.94,52,70,46,33.0,2
58,Bryce Young,QB,CAR,28.9,59.71,64,51,109,17.9,2
59,Christian Watson,WR,GB,28.6,61.66,61,63,75,24.4,2
60,Jordyn Tyson,WR,NO,28.3,61.98,60,66,159,11.3,2
61,Saquon Barkley,RB,PHI,28.1,62.03,65,56,27,42.3,2
62,Tucker Kraft,TE,GB,27.8,62.99,62,65,86,22.0,2
63,Parker Washington,WR,JAX,27.5,63.46,76,38,78,23.8,2
64,Rome Odunze,WR,CHI,27.2,64.98,63,69,79,23.5,2
65,Makai Lemon,WR,PHI,26.9,65.91,57,84,128,15.1,2
66,Jadarian Price,RB,SEA,26.7,67.05,72,57,77,24.0,2
67,Kyren Williams,RB,LAR,26.4,67.37,71,60,49,31.9,2
68,TreVeyon Henderson,RB,NE,26.2,67.74,75,53,89,21.4,2
69,Baker Mayfield,QB,TB,25.9,68.24,59,87,47,32.6,2
70,Bucky Irving,RB,TB,25.6,68.75,77,52,69,25.9,2
71,Quinshon Judkins,RB,CLE,25.4,69.32,68,72,74,24.7,2
72,Jameson Williams,WR,DET,25.2,71.61,66,83,68,26.2,2
73,Dalton Kincaid,TE,BUF,24.9,71.64,69,77,120,16.2,2
74,Sam LaPorta,TE,DET,24.7,74.66,74,76,93,20.7,2
75,Sam Darnold,QB,SEA,24.4,74.95,70,85,80,23.3,2
76,Javonte Williams,RB,DAL,24.2,77.4,84,64,48,32.2,2
77,C.J. Stroud,QB,HOU,24.0,80.03,83,74,71,25.4,2
78,Kyler Murray,QB,MIN,23.8,80.53,67,108,41,35.0,2
79,KC Concepcion Jr.,WR,CLE,23.5,81.0,81,81,127,15.2,2
80,Derrick Henry,RB,BAL,23.3,81.11,92,59,34,38.3,2
81,Matthew Stafford,QB,LAR,23.1,81.58,73,99,36,37.3,2
82,Brian Thomas Jr.,WR,JAX,22.9,83.63,80,91,95,20.3,2
83,Kyle Pitts Sr.,TE,ATL,22.7,85.26,78,100,97,19.9,2
84,D'Andre Swift,RB,CHI,22.5,85.42,94,68,63,27.5,2
85,Cam Ward,QB,TEN,22.2,85.99,85,88,84,22.5,2
86,Harold Fannin Jr.,TE,CLE,22.0,86.69,89,82,96,20.1,2
87,Cam Skattebo,RB,NYG,21.8,87.1,97,67,72,25.2,2
88,Kenyon Sadiq,TE,NYJ,21.6,87.32,86,90,182,8.9,2
89,Isaiah Likely,TE,NYG,21.4,87.34,88,86,129,14.9,2
90,Marvin Harrison Jr.,WR,ARI,21.2,88.27,82,101,87,21.8,2
91,Malik Willis,QB,MIA,21.1,89.56,79,111,59,28.6,2
92,DJ Moore,WR,BUF,20.9,89.67,90,89,70,25.6,2
93,Bhayshul Tuten,RB,JAX,20.7,90.39,96,79,81,23.1,2
94,Travis Etienne Jr.,RB,NO,20.5,92.67,93,92,62,27.8,2
95,Denzel Boston,WR,CLE,20.3,94.08,102,78,152,12.1,2
96,Jalen Coker,WR,CAR,20.1,96.44,107,75,140,13.5,2
97,Alec Pierce,WR,IND,19.9,96.94,91,109,107,18.2,2
98,Davante Adams,WR,LAR,19.8,97.02,99,93,65,26.9,2
99,Daniel Jones,QB,IND,19.6,97.64,95,103,76,24.2,2
100,Michael Wilson,WR,ARI,19.4,98.69,101,94,103,18.9,2
101,Terry McLaurin,WR,WAS,19.2,98.88,87,123,67,26.4,2
102,Matthew Golden,WR,GB,19.1,100.1,110,80,132,14.5,2
103,Josh Downs,WR,IND,18.9,101.35,103,98,112,17.4,2
104,Jordan Addison,WR,MIN,18.7,102.62,98,112,119,16.4,2
105,Chuba Hubbard,RB,CAR,18.5,107.06,113,95,104,18.7,2
106,George Kittle,TE,SF,18.4,108.01,109,106,106,18.4,2
107,Xavier Worthy,WR,KC,18.2,109.3,106,116,136,14.0,2
108,DK Metcalf,WR,PIT,18.1,109.57,100,129,91,21.1,2
109,Jaylen Warren,RB,PIT,17.9,109.61,104,121,85,22.2,2
110,David Montgomery,RB,HOU,17.7,110.07,117,96,73,24.9,2
111,Mike Evans,WR,SF,17.6,110.67,111,110,82,22.9,2
112,Jayden Higgins,WR,HOU,17.4,113.91,105,132,,,2
113,Josh Jacobs,RB,GB,17.3,115.59,108,131,150,12.3,2
114,Omar Cooper Jr.,WR,NYJ,17.1,118.36,121,113,185,8.6,2
115,Kyle Monangai,RB,CHI,17.0,118.74,126,104,122,15.9,2
116,Blake Corum,RB,LAR,16.8,120.45,132,97,102,19.1,2
117,Quentin Johnston,WR,LAC,16.7,121.61,116,133,100,19.4,2
118,Wan'Dale Robinson,WR,TEN,16.5,122.23,112,143,117,16.7,2
119,Jonah Coleman,RB,DEN,16.4,122.77,133,102,146,12.8,2
120,De'Zhaun Stribling,WR,SF,16.2,123.08,131,107,125,15.5,2
121,Michael Pittman Jr.,WR,PIT,16.1,124.9,115,145,105,18.5,2
122,Terrance Ferguson,TE,LAR,15.9,126.01,127,124,170,10.1,2
123,Michael Penix Jr.,QB,ATL,15.8,126.63,123,134,194,7.8,2
124,Chris Godwin Jr.,WR,TB,15.6,127.92,120,144,94,20.5,2
125,Jake Ferguson,TE,DAL,15.5,128.0,128,128,138,13.8,2
126,Antonio Williams,WR,WAS,15.4,128.07,135,114,234,4.5,2
127,RJ Harvey,RB,DEN,15.2,129.05,134,119,113,17.3,2
128,Courtland Sutton,WR,DEN,15.1,129.18,114,160,99,19.6,2
129,Khalil Shakir,WR,BUF,14.9,129.62,125,139,142,13.3,2
130,Ty Simpson,QB,LAR,14.8,129.79,142,105,408,0.0,2
131,Brenton Strange,TE,JAX,14.7,129.92,122,146,155,11.7,2
132,Eli Stowers,TE,PHI,14.5,130.87,118,157,268,2.1,2
133,Dallas Goedert,TE,PHI,14.4,130.88,119,155,124,15.6,2
134,Jayden Reed,WR,GB,14.3,131.59,124,147,115,17.0,2
135,Rhamondre Stevenson,RB,NE,14.1,132.05,137,122,83,22.7,2
136,Oronde Gadsden,TE,LAC,14.0,138.0,138,138,192,8.0,2
137,Zach Charbonnet,RB,SEA,13.9,138.1,148,118,160,11.2,2
138,Chris Bell,WR,MIA,13.8,139.38,144,130,193,7.9,2
139,Travis Kelce,TE,KC,13.6,140.95,136,151,116,16.8,2
140,Mark Andrews,TE,BAL,13.5,141.88,130,166,141,13.4,2
141,Jacory Croskey-Merritt,RB,WAS,13.4,142.08,150,126,114,17.1,2
142,Juwan Johnson,TE,NO,13.3,142.64,140,148,135,14.1,2
143,Jakobi Meyers,WR,JAX,13.1,143.19,129,172,130,14.8,2
144,Jonathon Brooks,RB,CAR,13.0,147.39,153,136,98,19.8,2
145,Rico Dowdle,RB,PIT,12.9,147.6,141,161,90,21.2,2
146,Tony Pollard,RB,TEN,12.8,148.9,139,169,92,20.9,2
147,Emmett Johnson,RB,KC,12.7,149.78,161,127,164,10.7,2
148,Romeo Doubs,WR,NE,12.5,151.34,152,150,134,14.3,2
149,Jalen McMillan,WR,TB,12.4,151.91,143,170,167,10.4,2
150,Woody Marks,RB,HOU,12.3,151.97,149,158,137,13.9,2
151,J.K. Dobbins,RB,DEN,12.2,154.34,155,153,101,19.2,2
152,Jordan Mason,RB,MIN,12.1,154.68,156,152,111,17.6,2
153,Ricky Pearsall,WR,SF,12.0,158.2,145,185,,,2
154,Tyler Allgeier,RB,ARI,11.8,159.65,158,163,139,13.6,2
155,Adonai Mitchell,WR,NYJ,11.7,160.46,173,135,161,11.1,2
156,Kenny Gainwell,RB,TB,11.6,160.57,151,180,118,16.5,2
157,T.J. Hockenson,TE,MIN,11.5,160.93,154,175,171,10.0,2
158,Deebo Samuel Sr.,WR,SF,11.4,162.03,165,156,144,13.0,2
159,Travis Hunter,WR,JAX,11.3,162.51,147,194,205,6.8,2
160,Ja'Kobi Lane,WR,BAL,11.2,162.88,184,120,184,8.7,2
161,Caleb Douglas,WR,MIA,11.1,163.23,186,117,225,5.2,2
162,Rachaad White,RB,WAS,11.0,163.93,157,178,123,15.8,2
163,Aaron Jones Sr.,RB,MIN,10.9,165.67,166,165,131,14.7,2
164,Chig Okonkwo,TE,WAS,10.7,168.44,146,214,154,11.8,2
165,Dalton Schultz,TE,HOU,10.6,169.34,170,168,158,11.4,2
166,AJ Barner,TE,SEA,10.5,169.94,164,182,173,9.8,2
167,Dontayvion Wicks,WR,PHI,10.4,170.5,187,137,168,10.3,2
168,Pat Bryant,WR,DEN,10.3,173.16,189,141,179,9.2,2
169,Geno Smith,QB,NYJ,10.2,173.2,160,200,143,13.1,2
170,Rashid Shaheed,WR,SEA,10.1,173.94,168,186,148,12.5,2
171,Tank Bigsby,RB,PHI,10.0,174.05,179,164,149,12.4,2
172,Stefon Diggs,WR,WAS,9.9,174.83,191,142,110,17.7,2
173,Hunter Henry,TE,NE,9.8,174.84,159,207,153,12.0,2
174,Tre' Harris,WR,LAC,9.7,174.97,172,181,176,9.5,2
175,Tyjae Spears,RB,TEN,9.6,176.28,171,187,145,12.9,2
176,Mike Washington Jr.,RB,LV,9.5,178.86,198,140,147,12.7,2
177,Shedeur Sanders,QB,CLE,9.4,179.54,167,205,232,4.7,2
178,Jacoby Brissett,QB,ARI,9.3,180.34,181,179,121,16.1,2
179,Jaylin Noel,WR,HOU,9.2,180.61,175,192,198,7.4,2
180,Nicholas Singleton,RB,TEN,9.1,181.02,183,177,199,7.4,2
181,Kayshon Boutte,WR,HOU,9.0,184.39,190,173,162,11.0,2
182,Max Klare,TE,LAR,8.9,184.77,162,231,318,0.0,2
183,Chris Rodriguez Jr.,RB,JAX,8.8,185.55,174,209,133,14.4,2
184,Dylan Sampson,RB,CLE,8.7,185.61,180,197,157,11.5,2
185,Tre Tucker,WR,LV,8.6,186.16,202,154,151,12.2,2
186,Braelon Allen,RB,NYJ,8.5,187.14,201,159,163,10.9,2
187,Troy Franklin,WR,DEN,8.4,188.88,177,213,229,4.9,2
188,Germie Bernard,WR,PIT,8.4,189.87,210,149,219,5.7,2
189,Gunnar Helm,TE,TEN,8.3,190.21,178,215,188,8.4,2
190,Keaton Mitchell,RB,LAC,8.2,191.34,192,190,156,11.6,2
191,Brian Robinson,RB,ATL,8.1,192.95,188,203,165,10.6,2
192,Eli Raridon,TE,NE,8.0,193.36,196,188,295,0.5,2
193,Ted Hurst III,WR,TB,7.9,195.14,209,167,221,5.5,2
194,Malachi Fields,WR,NYG,7.8,196.02,231,125,202,7.1,2
195,Rashod Bateman,WR,BAL,7.7,197.02,199,193,195,7.7,2
196,Tua Tagovailoa,QB,ATL,7.6,198.04,169,257,201,7.2,2
197,Tyrone Tracy Jr.,RB,NYG,7.5,199.63,163,274,175,9.6,2
198,Jerry Jeudy,WR,CLE,7.4,201.08,176,252,180,9.1,2
199,Kaelon Black,RB,SF,7.4,201.43,244,115,190,8.2,2
200,Isaac TeSlaa,WR,DET,7.3,202.64,200,208,209,6.5,2
201,Cade Otton,TE,TB,7.2,204.26,197,219,197,7.5,2
202,Keon Coleman,WR,BUF,7.1,205.48,220,176,228,5.0,2
203,Devaughn Vele,WR,NO,7.0,205.55,227,162,214,6.1,2
204,Kaleb Johnson,RB,GB,6.9,206.65,205,210,218,5.8,2
205,Pat Freiermuth,TE,PIT,6.8,207.73,214,195,189,8.3,2
206,Alvin Kamara,RB,NO,6.8,208.07,182,261,166,10.5,2
207,Elic Ayomanor,WR,TEN,6.7,208.65,207,212,244,3.8,2
208,Malik Washington,WR,MIA,6.6,210.18,228,174,183,8.8,2
209,Jack Bech,WR,LV,6.5,210.71,215,202,231,4.7,2
210,MarShawn Lloyd,RB,GB,6.4,211.14,225,183,108,18.1,2
211,David Njoku,TE,LAC,6.3,211.73,185,266,227,5.1,2
212,Ryan Flournoy,WR,DAL,6.3,213.23,203,234,177,9.4,2
213,Kirk Cousins,QB,LV,6.2,215.42,224,198,213,6.2,2
214,Aaron Rodgers,QB,PIT,6.1,216.76,193,265,126,15.4,2
215,Mason Taylor,TE,NYJ,6.0,216.95,212,227,247,3.6,2
216,Tank Dell,WR,HOU,5.9,217.7,221,211,250,3.4,2
217,Kaytron Allen,RB,WAS,5.8,219.1,229,199,200,7.3,2
218,Tory Horton,WR,SEA,5.8,219.33,219,220,241,4.0,2
219,Chris Brazzell II,WR,CAR,5.7,219.64,217,225,370,0.0,2
220,Kyle Williams,WR,NE,5.6,221.63,218,229,253,3.2,2
221,Carson Beck,QB,ARI,5.5,221.92,247,171,328,0.0,2
222,Zachariah Branch,WR,ATL,5.4,222.5,239,189,208,6.6,2
223,Oscar Delp,TE,NO,5.4,222.9,213,243,291,0.7,2
224,Jauan Jennings,WR,MIN,5.3,223.16,206,258,178,9.3,2
225,Cyrus Allen,WR,KC,5.2,224.5,241,191,245,3.7,2
226,Chimere Dike,WR,TEN,5.1,225.57,216,245,249,3.4,2
227,Isiah Pacheco,RB,DET,5.1,226.02,195,289,220,5.6,2
228,Elijah Arroyo,TE,SEA,5.0,227.69,230,223,286,1.0,2
229,Deshaun Watson,QB,CLE,4.9,228.13,208,269,217,5.8,2
230,Darnell Mooney,WR,NYG,4.8,229.41,204,281,210,6.4,2
231,Kimani Vidal,RB,LAC,4.7,229.96,226,238,191,8.1,2
232,Elijah Sarratt,WR,BAL,4.7,230.13,243,204,255,3.0,2
233,J.J. McCarthy,QB,MIN,4.6,230.92,223,247,394,0.0,2
234,Jalen Nailor,WR,LV,4.5,233.67,234,233,169,10.2,2
235,Michael Mayer,TE,LV,4.4,234.92,260,184,272,1.9,2
236,Jaylen Wright,RB,MIA,4.4,235.66,235,237,207,6.7,2
237,Bryce Lance,WR,NO,4.3,239.67,240,239,288,0.9,2
238,Calvin Ridley,WR,TEN,4.2,240.53,194,335,187,8.4,2
239,Greg Dulcich,TE,MIA,4.2,241.61,236,253,215,6.0,2
240,Marvin Mims Jr.,WR,DEN,4.1,241.91,233,260,251,3.3,2
241,Evan Engram,TE,DEN,4.0,244.02,246,240,212,6.3,2
242,Kevin Coleman Jr.,WR,MIA,3.9,245.45,257,222,327,0.0,2
243,Skyler Bell,WR,BUF,3.9,246.09,255,228,265,2.3,2
244,Demond Claiborne,RB,MIN,3.8,247.82,263,217,224,5.3,2
245,Theo Johnson,TE,NYG,3.7,248.56,238,270,257,2.9,2
246,Ollie Gordon II,RB,MIA,3.6,250.68,252,248,230,4.8,2
247,Colby Parkinson,TE,LAR,3.6,251.63,248,259,237,4.3,2
248,Xavier Legette,WR,CAR,3.5,252.23,242,273,242,3.9,2
249,Cooper Kupp,WR,SEA,3.4,254.49,237,290,204,6.9,2
250,Christian Kirk,WR,SF,3.4,254.77,232,301,263,2.5,2
251,DeMario Douglas,WR,NE,3.3,254.82,270,224,269,2.1,2
252,Emanuel Wilson,RB,SEA,3.2,257.3,254,264,226,5.1,2
253,Kendre Miller,RB,NO,3.2,259.19,278,221,239,4.2,2
254,Tyquan Thornton,WR,KC,3.1,259.76,269,241,235,4.4,2
255,Tez Johnson,WR,TB,3.0,260.72,266,250,299,0.2,2
256,Isaiah Bond,WR,CLE,3.0,261.23,251,282,267,2.2,2
257,Seth McGowan,RB,IND,2.9,262.0,262,262,243,3.9,2
258,Ray Davis,RB,BUF,2.8,262.03,265,256,172,9.9,2
259,Cole Kmet,TE,CHI,2.7,262.8,276,236,294,0.5,2
260,Trey Benson,RB,ARI,2.7,263.15,245,300,282,1.3,2
261,James Conner,RB,ARI,2.6,263.25,222,347,223,5.4,2
262,Sean Tucker,RB,TB,2.5,264.76,274,246,196,7.6,2
263,Joshua Palmer,WR,BUF,2.5,265.27,259,278,296,0.4,2
264,Chris Brooks,RB,GB,2.4,266.64,264,272,222,5.4,2
265,Darnell Washington,TE,PIT,2.3,272.98,271,277,283,1.2,2
266,Keenan Allen,WR,IND,2.3,273.21,261,298,181,9.0,2
267,Jalen Royals,WR,KC,2.2,273.32,272,276,315,0.0,2
268,Ben Sinnott,TE,WAS,2.1,275.14,256,314,331,0.0,2
269,Jaylin Lane,WR,WAS,2.1,280.85,299,244,338,0.0,2
270,Isaiah Davis,RB,NYJ,2.0,280.99,280,283,238,4.2,2
271,Matt Hibner,TE,BAL,2.0,282.04,253,341,354,0.0,2
272,Jordan James,RB,SF,1.9,282.81,297,254,236,4.4,2
273,Dont'e Thornton Jr.,WR,LV,1.8,284.0,284,284,346,0.0,2
274,Brenen Thompson,WR,LAC,1.8,284.94,279,297,309,0.0,2
275,Brandon Aiyuk,WR,SF,1.7,285.25,211,436,302,0.1,2
276,Hollywood Brown,WR,PHI,1.6,285.63,249,360,258,2.8,2
277,George Holani,RB,SEA,1.6,285.82,301,255,211,6.3,2
278,DJ Giddens,RB,IND,1.5,287.34,288,286,248,3.5,2
279,Brashard Smith,RB,KC,1.4,287.64,285,293,246,3.6,2
280,Trevor Etienne,RB,CAR,1.4,289.11,300,267,264,2.4,2
281,Andrei Iosivas,WR,CIN,1.3,290.24,281,309,262,2.5,2
282,Malik Davis,RB,DAL,1.3,293.68,295,291,186,8.5,2
283,Mack Hollins,WR,NE,1.2,294.55,283,318,259,2.7,2
284,Cedric Tillman,WR,NO,1.1,295.39,268,351,324,0.0,2
285,Ja'Tavion Sanders,TE,CAR,1.1,295.94,290,308,312,0.0,2
286,Najee Harris,RB,NYG,1.0,297.27,291,310,203,7.0,2
287,Justice Hill,RB,BAL,0.9,297.62,293,307,206,6.8,2
288,Jaydon Blue,RB,PHI,0.9,298.43,275,346,270,2.0,2
289,Jarquez Hunter,RB,MIA,0.8,299.11,277,344,285,1.1,2
290,Devin Singletary,RB,NYG,0.8,299.3,296,306,252,3.2,2
291,Will Shipley,RB,PHI,0.7,299.36,302,294,274,1.8,2
292,LeQuint Allen Jr.,RB,JAX,0.6,300.52,319,263,240,4.1,2
293,Mike Gesicki,TE,CIN,0.6,301.08,309,285,266,2.3,2
294,Erick All Jr.,TE,CIN,0.5,301.18,286,332,297,0.4,2
295,Drew Allar,QB,PIT,0.5,301.19,,196,772,0.0,1
296,Zavion Thomas,WR,CHI,0.4,301.33,334,235,303,0.0,2
297,John Metchie III,WR,CAR,0.4,302.79,282,345,348,0.0,2
298,Darius Slayton,WR,IND,0.3,302.8,250,410,260,2.7,2
299,Mac Jones,QB,SF,0.2,302.84,,201,385,0.0,1
300,Eli Heidenreich,RB,PIT,0.2,303.04,307,295,320,0.0,2
301,Drew Lock,QB,SEA,0.1,304.49,,206,807,0.0,1
302,Adam Randall,RB,BAL,0.1,304.6,331,251,254,3.1,2
303,Calvin Austin III,WR,NYG,0.0,304.62,267,381,,,2
304,Luke McCaffrey,WR,WAS,0.0,305.17,289,338,307,0.0,2
305,Jordan Whittington,WR,LAR,0.0,305.86,292,334,342,0.0,2
306,Xavier Hutchinson,WR,HOU,0.0,307.79,,216,287,0.9,1
307,Tyreek Hill,WR,MIA,0.0,307.83,258,409,306,0.0,2
308,Devin Neal,RB,NO,0.0,308.31,273,380,279,1.4,2
309,Marcus Mariota,QB,WAS,0.0,308.45,,218,463,0.0,1
310,Jameis Winston,QB,NYG,0.0,311.09,,226,469,0.0,1
311,Dawson Knox,TE,BUF,0.0,312.16,328,280,293,0.6,2
312,Tahj Brooks,RB,CIN,0.0,312.29,308,321,261,2.6,2
313,Roman Wilson,WR,PIT,0.0,312.41,,230,311,0.0,1
314,Tyson Bagent,QB,CHI,0.0,313.07,,232,749,0.0,1
315,Roschon Johnson,RB,CHI,0.0,313.68,315,311,298,0.3,2
316,Charlie Kolar,TE,LAC,0.0,314.25,306,331,276,1.6,2
317,Emari Demercado,RB,DAL,0.0,314.66,314,316,256,3.0,2
318,Jalen Tolbert,WR,MIA,0.0,315.63,312,323,289,0.8,2
319,Cade Klubnik,QB,NYJ,0.0,316.37,,242,460,0.0,1
320,Jalen Milroe,QB,SEA,0.0,318.68,,249,755,0.0,1
321,Barion Brown,WR,NO,0.0,319.49,335,288,341,0.0,2
322,Justin Joly,TE,MIA,0.0,319.69,322,315,351,0.0,2
323,Isaac Guerendo,RB,SF,0.0,319.74,294,372,278,1.5,2
324,Jake Tonges,TE,SF,0.0,319.83,336,287,280,1.4,2
325,Jahan Dotson,WR,ATL,0.0,320.09,329,302,275,1.7,2
326,Ty Johnson,RB,BUF,0.0,320.77,298,367,233,4.6,2
327,Marlin Klein,TE,HOU,0.0,320.92,313,337,363,0.0,2
328,Audric Estime,RB,NO,0.0,321.23,311,342,273,1.8,2
329,CJ Daniels,WR,LAR,0.0,323.48,305,361,339,0.0,2
330,Noah Fant,TE,NO,0.0,323.7,327,317,321,0.0,2
331,Zach Ertz,TE,PHI,0.0,324.01,325,322,391,0.0,2
332,Savion Williams,WR,GB,0.0,324.33,324,325,334,0.0,2
333,Jerome Ford,RB,MIN,0.0,324.95,287,402,290,0.8,2
334,Anthony Richardson Sr.,QB,IND,0.0,324.95,,268,418,0.0,1
335,Raheim Sanders,RB,CLE,0.0,325.94,,271,319,0.0,1
336,Darren Waller,TE,CAR,0.0,326.45,338,303,271,2.0,2
337,Jalon Daniels,QB,TB,0.0,327.26,,275,791,0.0,1
338,Carson Wentz,QB,MIN,0.0,328.58,,279,607,0.0,1
339,Tanner Koziol,TE,JAX,0.0,330.4,304,384,398,0.0,2
340,J'Mari Taylor,RB,JAX,0.0,330.79,310,373,362,0.0,2
341,Samaje Perine,RB,CIN,0.0,331.38,303,389,216,5.9,2
342,Will Howard,QB,PIT,0.0,332.87,,292,810,0.0,1
343,Tyler Higbee,TE,LAR,0.0,333.18,318,364,304,0.0,2
344,Tutu Atwell,WR,LAR,0.0,333.32,332,336,329,0.0,2
345,Malik Benson,WR,LV,0.0,334.19,,296,305,0.0,1
346,Luke Musgrave,TE,GB,0.0,334.74,342,320,364,0.0,2
347,Taylen Green,QB,CLE,0.0,335.18,,299,745,0.0,1
348,Rasheen Ali,RB,BAL,0.0,336.14,317,375,323,0.0,2
349,Jack Endries,TE,CIN,0.0,336.2,323,363,431,0.0,2
350,Kendrick Bourne,WR,ARI,0.0,336.83,,304,292,0.6,1
351,Justin Fields,QB,KC,0.0,337.16,,305,407,0.0,1
352,Jaleel McLaughlin,RB,CLE,0.0,338.11,316,383,277,1.6,2
353,Devontez Walker,WR,BAL,0.0,339.47,,312,352,0.0,1
354,Joe Milton III,QB,DAL,0.0,339.8,,313,736,0.0,1
355,Jahdae Walker,WR,CHI,0.0,341.78,,319,353,0.0,1
356,Mitchell Evans,TE,CAR,0.0,341.84,326,374,345,0.0,2
357,Sam Roush,TE,CHI,0.0,342.45,321,386,413,0.0,2
358,Garrett Nussmeier,QB,KC,0.0,343.43,,324,821,0.0,1
359,Quinn Ewers,QB,JAX,0.0,344.09,,326,748,0.0,1
360,Sione Vaki,RB,DET,0.0,344.42,,327,317,0.0,1
361,Noah Gray,TE,KC,0.0,344.75,,328,310,0.0,1
362,Deion Burks,WR,IND,0.0,345.08,,329,361,0.0,1
363,Konata Mumpfield,WR,LAR,0.0,345.41,,330,316,0.0,1
364,Colbie Young,WR,CIN,0.0,346.4,,333,330,0.0,1
365,Jordan Watkins,WR,SF,0.0,346.61,341,358,426,0.0,2
366,KeAndre Lambert-Smith,WR,LAC,0.0,347.97,345,354,405,0.0,2
367,Jack Strand,QB,ATL,0.0,348.38,,339,813,0.0,1
368,Riley Leonard,QB,IND,0.0,348.71,,340,743,0.0,1
369,Treylon Burks,WR,WAS,0.0,349.7,,343,308,0.0,1
370,Olamide Zaccheaus,WR,ATL,0.0,351.33,351,352,301,0.1,2
