reason,player,hkb_rank,best_rank
"on authority, unranked by all sources",Ryan Rolison,,
"on authority, unranked by all sources",Dauri Moreta,,
"on authority, unranked by all sources",Bradley Blalock,,
"on authority, unranked by all sources",Sean Reynolds,,
"on authority, unranked by all sources",Andre Granillo,,
"on authority, unranked by all sources",Yaramil Hiraldo,,
"on authority, unranked by all sources",Jesse Winker,,
"on authority, unranked by all sources",Kevin Newman,,
"on authority, unranked by all sources",Beau Brieske,,
"on authority, unranked by all sources",Sam Moll,,
"on authority, unranked by all sources",Jose Fermin,,
"on authority, unranked by all sources",Gustavo Campero,,
"on authority, unranked by all sources",Ian Gibaut,,
"on authority, unranked by all sources",Bryce Jarvis,,
"on authority, unranked by all sources",Ryan Fitzgerald,,
"on authority, unranked by all sources",Luis Curvelo,,
"on authority, unranked by all sources",John Brebbia,,
"on authority, unranked by all sources",Hunter Stratton,,
"on authority, unranked by all sources",Andrew Knizner,,
"on authority, unranked by all sources",Ben Rortvedt,,
"on authority, unranked by all sources",Cooper Hummel,,
"on authority, unranked by all sources",Nick Martini,,
"on authority, unranked by all sources",Jackson Kowar,,
"on authority, unranked by all sources",Mark Canha,,
"on authority, unranked by all sources",Julian Merryweather,,
"on authority, unranked by all sources",Tayler Scott,,
"on authority, unranked by all sources",Brett Harris,,
"on authority, unranked by all sources",Fraser Ellard,,
"on authority, unranked by all sources",Chris Devenski,,
"on authority, unranked by all sources",Ronny Simon,,
"on authority, unranked by all sources",Drew Millas,,
"on authority, unranked by all sources",Austin Cox,,
"on authority, unranked by all sources",Justin Bruihl,,
"on authority, unranked by all sources",Orlando Ribalta,,
"on authority, unranked by all sources",Matt Bowman,,
"on authority, unranked by all sources",DaShawn Keirsey,,
"on authority, unranked by all sources",Zak Kent,,
"on authority, unranked by all sources",Eric Haase,,
"on authority, unranked by all sources",Garrett Hampson,,
"on authority, unranked by all sources",Connor Gillispie,,
"on authority, unranked by all sources",Colin Selby,,
"on authority, unranked by all sources",Sam Hilliard,,
"on authority, unranked by all sources",Chris Stratton,,
"on authority, unranked by all sources",Hunter Feduccia,,
"on authority, unranked by all sources",Brett Wisely,,
"on authority, unranked by all sources",Cavan Biggio,,
"on authority, unranked by all sources",Eduardo Salazar,,
"on authority, unranked by all sources",Tim Mayza,,
"on authority, unranked by all sources",Zach Brzykcy,,
"on authority, unranked by all sources",Juan Burgos,,
"on authority, unranked by all sources",Danny Young,,
"on authority, unranked by all sources",Daniel Johnson,,
"on authority, unranked by all sources",Hunter Renfroe,,
"on authority, unranked by all sources",Zack Short,,
"on authority, unranked by all sources",Daniel Robert,,
"on authority, unranked by all sources",Jose Ruiz,,
"on authority, unranked by all sources",Ron Marinaccio,,
"on authority, unranked by all sources",T.J. McFarland,,
"on authority, unranked by all sources",Chris Roycroft,,
"on authority, unranked by all sources",Luke Maile,,
"on authority, unranked by all sources",Casey Lawrence,,
"on authority, unranked by all sources",Jayden Murray,,
"on authority, unranked by all sources",Freddy Tarnok,,
"on authority, unranked by all sources",Jhonny Pereda,,
"on authority, unranked by all sources",Vinny Capra,,
"on authority, unranked by all sources",Austin Warren,,
"on authority, unranked by all sources",Andrew Hoffmann,,
"on authority, unranked by all sources",Seth Brown,,
"on authority, unranked by all sources",Scott McGough,,
"on authority, unranked by all sources",Easton McGee,,
"on authority, unranked by all sources",Bob Seymour,,
"on authority, unranked by all sources",Elvin Rodriguez,,
"on authority, unranked by all sources",Stuart Fairchild,,
"on authority, unranked by all sources",Jonah Bride,,
"on authority, unranked by all sources",Scott Alexander,,
"on authority, unranked by all sources",Dominic Fletcher,,
"on authority, unranked by all sources",Sean Bouchard,,
"on authority, unranked by all sources",Nick Maton,,
"on authority, unranked by all sources",Jon Gray,,
"on authority, unranked by all sources",Jose De Leon,,
"on authority, unranked by all sources",Carson Spiers,,
"on authority, unranked by all sources",Nick Anderson,,
"on authority, unranked by all sources",Sauryn Lao,,
"on authority, unranked by all sources",Travis Jankowski,,
"on authority, unranked by all sources",Connor Joe,,
"on authority, unranked by all sources",Tim Anderson,,
"on authority, unranked by all sources",Penn Murfee,,
"on authority, unranked by all sources",Alan Rangel,,
"on authority, unranked by all sources",Luke Williams,,
"on authority, unranked by all sources",Brooks Kriske,,
"on authority, unranked by all sources",Erasmo Ramirez,,
"on authority, unranked by all sources",Bailey Horn,,
"on authority, unranked by all sources",Will Wilson,,
"on authority, unranked by all sources",Luis Contreras,,
"on authority, unranked by all sources",Cionel Perez,,
"on authority, unranked by all sources",Jacob Amaya,,
"on authority, unranked by all sources",Cody Laweryson,,
"on authority, unranked by all sources",Shaun Anderson,,
"on authority, unranked by all sources",Luis Guerrero,,
"on authority, unranked by all sources",Luis Vazquez,,
"on authority, unranked by all sources",Liam Hendriks,,
"on authority, unranked by all sources",Sean Guenther,,
"on authority, unranked by all sources",Josh Winckowski,,
"on authority, unranked by all sources",Kevin Herget,,
"on authority, unranked by all sources",Sean Hjelle,,
"on authority, unranked by all sources",Brian Van Belle,,
"on authority, unranked by all sources",Connor Seabold,,
"on authority, unranked by all sources",Roddery Munoz,,
"on authority, unranked by all sources",Hayden Senger,,
"on authority, unranked by all sources",Tyler Zuber,,
"on authority, unranked by all sources",Tayler Saucedo,,
"on authority, unranked by all sources",Daz Cameron,,
"on authority, unranked by all sources",Sam Huff,,
"on authority, unranked by all sources",Richard Lovelady,,
"on authority, unranked by all sources",Nick Hernandez,,
"on authority, unranked by all sources",Luken Baker,,
"on authority, unranked by all sources",Jared Shuster,,
"on authority, unranked by all sources",Kendall Graveman,,
"on authority, unranked by all sources",Michael Darrell-Hicks,,
"on authority, unranked by all sources",Dugan Darnell,,
"on authority, unranked by all sources",Victor Mederos,,
"on authority, unranked by all sources",Ethan Roberts,,
"on authority, unranked by all sources",Bryan Hoeing,,
"on authority, unranked by all sources",Tommy Henry,,
"on authority, unranked by all sources",Roansy Contreras,,
